Name,mlbID,Lev,Tm,Age,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,team_abbr
Lucas Sims,608371,Maj-NL,Washington,31,1,0,,,0.1,0,0,0,0,0,0.0,0.0,1,,0,0,WSN
Shane Smith,681343,Maj-AL,Chicago,25,1,1,,,5.2,2,2,4,3,0,3.18,1.059,22,0.75,0,0,CWS
Gabe Speier,642100,Maj-AL,Seattle,30,1,0,,,1.0,0,0,0,2,0,0.0,0.0,3,,0,0,SEA
Carson Spiers,686730,Maj-NL,Cincinnati,27,1,1,,,6.0,3,1,2,5,1,1.5,0.833,23,2.5,0,0,CIN
Justin Steele,657006,Maj-NL,Chicago,29,1,1,1.0,,6.2,7,4,1,6,2,5.4,1.2,28,6.0,0,0,CHC
Justin Sterner,686993,Maj-AL,Athletics,28,1,0,,,1.1,0,0,0,1,0,0.0,0.0,4,,0,0,
Trent Thornton,663423,Maj-AL,Seattle,31,1,0,,,0.2,1,1,0,0,1,13.5,1.5,3,,0,0,SEA
Blake Treinen,595014,Maj-NL,Los Angeles,37,1,0,,,1.0,1,0,0,1,0,0.0,1.0,4,,1,0,LAD
Abner Uribe,682842,Maj-NL,Milwaukee,25,1,0,1.0,,1.1,0,0,0,1,0,0.0,0.0,4,,0,0,MIL
Louis Varland,686973,Maj-AL,Minnesota,27,1,0,1.0,,1.0,1,1,0,2,1,9.0,1.0,4,,0,0,MIN
Anthony Veneziano,685107,Maj-NL,Miami,27,1,0,,,0.1,1,0,1,0,0,0.0,6.0,3,0.0,0,0,MIA
Alex Vesia,681911,Maj-NL,Los Angeles,29,1,0,,,1.0,0,0,0,2,0,0.0,0.0,3,,0,0,LAD
Will Vest,676684,Maj-AL,Detroit,30,1,0,,,1.0,0,0,0,0,0,0.0,0.0,3,,0,0,DET
Ryan Walker,676254,Maj-NL,San Francisco,29,1,0,,1.0,1.0,0,0,0,0,0,0.0,0.0,3,,0,0,SF
Will Warren,701542,Maj-AL,New York,26,1,1,,,5.0,1,2,4,4,1,3.6,1.0,19,1.0,0,0,NYY
Logan Webb,657277,Maj-NL,San Francisco,28,1,1,1.0,,7.0,5,1,0,6,1,1.29,0.714,23,,0,0,SF
Joey Wentz,666214,Maj-NL,Pittsburgh,27,1,0,,,1.0,0,0,0,0,0,0.0,0.0,3,,0,0,PIT
Hayden Wesneski,669713,Maj-AL,Houston,27,1,1,,,5.0,2,3,3,6,1,5.4,1.0,21,2.0,0,0,HOU
Trevor Williams,592866,Maj-NL,Washington,33,1,1,,,5.0,10,3,0,3,0,5.4,2.0,23,,0,0,WSN
Bryse Wilson,669060,Maj-AL,Chicago,27,1,0,,,0.1,1,0,1,0,0,0.0,6.0,3,0.0,0,0,CWS
Simeon Woods Richardson,680573,Maj-AL,Minnesota,24,1,1,,,4.0,5,2,1,5,0,4.5,1.5,17,5.0,0,0,MIN
Ryan Zeferjahn,666171,Maj-AL,Los Angeles,27,1,0,,1.0,0.2,0,0,0,1,0,0.0,0.0,2,,0,0,LAA
