Name,Age,mlbID,Lev,Tm,team_abbr,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,position,depth
Yorman Gómez,22,691414,"A+,AA",CLE,"CLE (A+,AA)",27.0,15.0,12.0,3.0,121.2,93.0,40.0,0.0952381,139.0,4.0,2.958903985892351,1.158904061141171,,,,,P,
Darlin Saladin,23,692404,"A+,AA",STL,"STL (A+,AA)",35.0,13.0,5.0,2.0,107.1,100.0,60.0,0.11802575,100.0,8.0,5.031056228434038,1.444099472976437,,,,,P,
Estibenzon Jimenez,24,693732,"A,A+,AA,CPX",PHI,"PHI (A,A+,AA,CPX)",30.0,19.0,9.0,0.0,128.0,126.0,67.0,0.06629834,121.0,20.0,4.7109375,1.265625,,,,,P,
Gerardo Salas,23,692401,A+,STL,STL (A+),34.0,19.0,6.0,0.0,116.1,146.0,100.0,0.08679245,105.0,21.0,7.7363901499023635,1.6504298986458377,,,,,P,
Marlon Franco,23,693812,CPX,SFG,SFG (CPX),17.0,5.0,4.0,0.0,57.1,76.0,32.0,0.0651341,54.0,5.0,5.023256113362884,1.622093119940098,,,,,P,
Christian Romero,23,699071,"A+,AAA",LAD,"LAD (A+,AAA)",33.0,21.0,7.0,1.0,138.0,137.0,80.0,0.07960199,107.0,14.0,5.217391304347826,1.3405797101449275,,,,,P,
Keythel Key,22,700322,"A+,AA",LAA,"LAA (A+,AA)",39.0,18.0,8.0,0.0,120.2,121.0,81.0,0.14059754,138.0,15.0,6.041436789867388,1.6657459461774282,,,,,P,
Luis Gutierrez,22,692294,"A,A+,AA,AAA",SDP,"SDP (A,A+,AA,AAA)",28.0,24.0,6.0,0.0,137.0,114.0,51.0,0.08376963,128.0,9.0,3.3503649635036497,1.1824817518248176,,,,,P,
Miguel Ullola,24,699044,AAA,HOU,HOU (AAA),35.0,30.0,8.0,1.0,142.0,98.0,67.0,0.15831987,166.0,10.0,4.246479272511373,1.380281819920778,,,,,P,
Felix Arronde,23,702373,"A+,AA",KCR,"KCR (A+,AA)",32.0,30.0,7.0,0.0,152.2,116.0,52.0,0.08387097,122.0,14.0,3.065502387667486,1.1004367545473026,,,,,P,
Henry Baez,23,692013,AA,OAK,OAK (AA),24.0,24.0,5.0,0.0,111.1,82.0,33.0,0.08035714,105.0,4.0,2.667665072456327,1.0598803991577328,,,,,P,
Bryan Mena,22,700167,"A,A+",COL,"COL (A,A+)",35.0,22.0,3.0,0.0,126.1,152.0,80.0,0.11616162,113.0,13.0,5.699208672725654,1.7493404398227355,,,,,P,
Leandro Lopez,24,699214,"A+,AA",TEX,"TEX (A+,AA)",29.0,28.0,3.0,0.0,126.2,104.0,47.0,0.11302682,142.0,10.0,3.3394739021158757,1.286842189231413,,,,,P,
Bryan Polanco,24,702877,"A,A+",WSN,"WSN (A,A+)",31.0,29.0,8.0,0.0,137.1,129.0,67.0,0.08985025,119.0,21.0,4.390776922626617,1.332524339702605,,,,,P,
Ismael Agreda,22,697795,"A,A+",TEX,"TEX (A,A+)",30.0,25.0,4.0,1.0,110.2,76.0,40.0,0.12284483,134.0,8.0,3.2530123402027784,1.2018073367971376,,,,,P,
Ryan Costeiu,25,695065,"A+,AA",LAA,"LAA (A+,AA)",32.0,26.0,10.0,0.0,145.0,147.0,89.0,0.1,152.0,21.0,5.524138439691071,1.4551725477837902,,,,,P,
Logan Workman,27,694312,AAA,TBR,TBR (AAA),37.0,35.0,9.0,0.0,189.2,177.0,94.0,0.08060453,195.0,34.0,4.460456822388102,1.2706502295455468,,,,,P,
Brett Kerry,27,695049,"AAA,CPX",LAA,"LAA (AAA,CPX)",34.0,29.0,9.0,0.0,149.2,194.0,126.0,0.08550725,119.0,34.0,7.57683715899029,1.6904231051362815,,,,,P,
Tanner McDougal,23,701780,"A+,AA,AAA",CHW,"CHW (A+,AA,AAA)",34.0,34.0,3.0,0.0,137.1,114.0,49.0,0.10708117,163.0,9.0,3.2111648106869586,1.2815533031313033,,,,,P,
Lael Lockhart,28,679712,"A,A+,AA,AAA",DET,"DET (A,A+,AA,AAA)",32.0,30.0,8.0,0.0,136.0,121.0,67.0,0.12627986,128.0,13.0,4.4338235294117645,1.4338235294117647,,,,,P,
Aaron Davenport,24,702126,"AA,AAA",CLE,"CLE (AA,AAA)",28.0,24.0,7.0,0.0,133.2,117.0,66.0,0.10782609,117.0,18.0,4.443890105216005,1.3391520687435439,,,,,P,
Mitch Bratt,22,683352,"AA,AAA",TEX,"TEX (AA,AAA)",31.0,30.0,7.0,0.0,151.1,140.0,54.0,0.05016181,177.0,21.0,3.211453892905251,1.1299559993555515,,,,,P,
Michael Morales,23,691786,AA,SEA,SEA (AA),29.0,29.0,5.0,0.0,127.2,127.0,65.0,0.09854015,94.0,8.0,4.582245795924397,1.4177546821578049,,,,,P,
Will Dion,26,702021,AAA,CLE,CLE (AAA),43.0,13.0,6.0,1.0,119.1,130.0,58.0,0.08076923,124.0,10.0,4.374301792504449,1.4413408205187073,,,,,P,
Seth Lonsway,27,675920,"AA,AAA",SFG,"SFG (AA,AAA)",34.0,33.0,5.0,0.0,154.2,157.0,72.0,0.11816839,134.0,10.0,4.189655086302447,1.532327554712469,,,,,P,
Kevin Abel,27,674265,"AA,AAA",CIN,"CIN (AA,AAA)",34.0,32.0,7.0,0.0,157.2,130.0,79.0,0.12554745,156.0,14.0,4.509514033022087,1.369978946740887,,,,,P,
Mike Paredes,25,702474,"AA,AAA",MIN,"MIN (AA,AAA)",47.0,8.0,14.0,7.0,137.1,116.0,48.0,0.05892857,127.0,15.0,3.1456312281504117,1.0849515115611374,,,,,P,
Jose Cabrera,24,703615,AA,ARI,ARI (AA),32.0,32.0,9.0,0.0,164.1,172.0,85.0,0.07954545,150.0,20.0,4.655172125629657,1.3874238492072704,,,,,P,
Chandler Champlain,26,669441,AAA,KCR,KCR (AAA),36.0,30.0,7.0,0.0,151.1,182.0,115.0,0.08333333,124.0,23.0,6.839207278321632,1.579295207264609,,,,,P,
