Name,Age,mlbID,Lev,Tm,team_abbr,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,position,depth
Brycen Mautz,24,802408,"AA,AAA",STL,"STL (AA,AAA)",32.0,32.0,8.0,0.0,145.0,115.0,48.0,0.09090909,165.0,16.0,2.979310619159229,1.1724139010580301,,,,,P,
Connor Staine,25,688422,AA,COL,COL (AA),31.0,30.0,5.0,0.0,131.0,120.0,73.0,0.12607945,113.0,18.0,5.015267248594375,1.4732824641989564,,,,,P,
Max Rajcic,24,691008,"AA,AAA",STL,"STL (AA,AAA)",40.0,28.0,6.0,2.0,143.1,151.0,70.0,0.09627329,129.0,16.0,4.395348934691428,1.4860465445861493,,,,,P,
Pete Hansen,25,677337,"A,AA,AAA",STL,"STL (A,AA,AAA)",32.0,32.0,8.0,0.0,159.1,156.0,70.0,0.06835067,142.0,12.0,3.9539746429587237,1.267782345837559,,,,,P,
Chris McElvain,25,687226,"A,A+,AA,CPX",TOR,"TOR (A,A+,AA,CPX)",27.0,27.0,2.0,0.0,109.1,107.0,52.0,0.09168443,98.0,11.0,4.2804874812897395,1.3719511157979936,,,,,P,
Trey Dombroski,25,690667,"AA,AAA",HOU,"HOU (AA,AAA)",35.0,24.0,9.0,0.0,143.0,116.0,66.0,0.11276949,140.0,11.0,4.153846486272731,1.2867133896871759,,,,,P,
Connor Noland,26,690939,AAA,CHC,CHC (AAA),34.0,29.0,11.0,0.0,164.1,166.0,84.0,0.09958506,135.0,19.0,4.6004058752948405,1.4482759237039313,,,,,P,
Joey Mancini,26,686223,"AA,AAA",HOU,"HOU (AA,AAA)",37.0,15.0,1.0,1.0,141.2,144.0,78.0,0.09606299,112.0,17.0,4.95529440675097,1.447058907954343,,,,,P,
Isaiah Lowe,23,702584,A+,SDP,SDP (A+),29.0,26.0,4.0,0.0,112.0,132.0,73.0,0.12144213,91.0,12.0,5.866072127861719,1.7500002086162816,,,,,P,
Austin Peterson,26,804926,"AA,AAA",CLE,"CLE (AA,AAA)",31.0,29.0,8.0,0.0,156.1,138.0,54.0,0.06771654,137.0,16.0,3.108742143334767,1.1577825677851705,,,,,P,
Jagger Haynes,23,695247,AA,SDP,SDP (AA),32.0,31.0,3.0,0.0,131.0,108.0,62.0,0.13345196,125.0,14.0,4.259541984732825,1.3969465648854962,,,,,P,
Jackson Ferris,22,701328,"AA,AAA",LAD,"LAD (AA,AAA)",32.0,30.0,10.0,0.0,149.0,150.0,73.0,0.12012012,147.0,12.0,4.409395973154362,1.5436241610738255,,,,,P,
Jackson Cox,22,702484,"A,A+",COL,"COL (A,A+)",30.0,29.0,6.0,0.0,120.1,104.0,49.0,0.07910751,137.0,19.0,3.6648200995033706,1.1883657011995057,,,,,P,
Henry Williams,24,689275,"AA,AAA",KCR,"KCR (AA,AAA)",30.0,28.0,7.0,1.0,150.2,156.0,78.0,0.08602151,130.0,18.0,4.65929234997858,1.4070797410191724,,,,,P,
Hunter Patteson,26,687593,"A+,AA",KCR,"KCR (A+,AA)",31.0,27.0,11.0,1.0,143.0,120.0,56.0,0.08907563,127.0,17.0,3.52447557148534,1.2097902259265156,,,,,P,
Gary Gill Hill,21,804541,"A+,AA",TBR,"TBR (A+,AA)",32.0,32.0,11.0,0.0,174.0,167.0,77.0,0.05494505,141.0,23.0,3.982758926296371,1.189655263698916,,,,,P,
Gilberto Batista,21,807625,"A,A+",TOR,"TOR (A,A+)",30.0,9.0,6.0,0.0,107.2,124.0,68.0,0.08541667,99.0,18.0,5.684210962671939,1.5325078575831206,,,,,P,
Wilkin Paredes,22,808051,"A,A+",ARI,"ARI (A,A+)",27.0,27.0,8.0,0.0,132.1,140.0,62.0,0.08981002,78.0,16.0,4.2166244217797315,1.4508815214725956,,,,,P,
Dylan Wilson,20,808511,CPX,SEA,SEA (CPX),13.0,10.0,1.0,0.0,54.1,53.0,32.0,0.10788382,46.0,4.0,5.300613830318326,1.4539878215109296,,,,,P,
Hamlet Garcia,20,808697,CPX,MIA,MIA (CPX),2.0,2.0,0.0,0.0,6.0,5.0,4.0,0.12,8.0,0.0,6.0,1.3333333333333333,,,,,P,
Francis Texido,21,809814,"A,A+,AAA",LAA,"LAA (A,A+,AAA)",37.0,20.0,4.0,0.0,122.2,107.0,78.0,0.18466899,122.0,9.0,5.722825927526073,1.736412995104065,,,,,P,
Clevari Tejada,21,814136,A,PIT,PIT (A),30.0,26.0,4.0,1.0,106.0,84.0,54.0,0.11479029,88.0,4.0,4.584905660377358,1.2830188679245282,,,,,P,
Yeferson Vargas,21,814279,"A,A+",LAA,"LAA (A,A+)",32.0,32.0,10.0,0.0,142.0,137.0,75.0,0.12339744,116.0,9.0,4.753521190610015,1.5070422737637676,,,,,P,
Yunior Tur,26,814305,"A+,AA,AAA",OAK,"OAK (A+,AA,AAA)",41.0,27.0,4.0,0.0,141.2,117.0,52.0,0.10797342,150.0,8.0,3.3035296934557037,1.2847059918994403,,,,,P,
Mavis Graves,22,703496,A+,PHI,PHI (A+),27.0,27.0,7.0,0.0,102.2,89.0,48.0,0.12582781,137.0,9.0,4.207792624713117,1.422078062981748,,,,,P,
Ismael Cabral,21,806706,DSL,TBR,TBR (DSL),12.0,8.0,1.0,0.0,47.0,48.0,25.0,0.12442396,37.0,3.0,4.787234042553192,1.5957446808510638,,,,,P,
Josnier Parra,24,807206,CPX,OAK,OAK (CPX),14.0,11.0,3.0,0.0,54.2,68.0,38.0,0.06425703,34.0,2.0,6.256098506849343,1.5365855981735226,,,,,P,
Carlos Castillo,20,807962,"A,A+",PIT,"PIT (A,A+)",30.0,26.0,4.0,0.0,114.1,108.0,51.0,0.09958506,97.0,9.0,4.014577844090127,1.3644316855731151,,,,,P,
Leuris Portorreal,20,808224,"A,CPX",WSN,"WSN (A,CPX)",18.0,13.0,0.0,1.0,65.0,78.0,36.0,0.06185567,45.0,7.0,4.984615530883071,1.4769231202616506,,,,,P,
Tzu-Chen Sha,22,809223,"A,A+",OAK,"OAK (A,A+)",30.0,23.0,5.0,2.0,127.0,125.0,69.0,0.07481752,103.0,14.0,4.889763706090676,1.3070865945427572,,,,,P,
Frenny Grant,22,814133,"CPX,DSL",DET,"DET (CPX,DSL)",16.0,12.0,3.0,0.0,51.2,41.0,20.0,0.11555556,53.0,3.0,3.4838715250609593,1.2967744009949125,,,,,P,
Kohl Drake,25,684442,"AA,AAA",TEX,"TEX (AA,AAA)",28.0,27.0,7.0,0.0,122.0,112.0,71.0,0.09125475,133.0,19.0,5.237704918032787,1.3114754098360655,,,,,P,
Jackson Humphries,21,703469,A+,CLE,CLE (A+),32.0,32.0,1.0,0.0,120.0,84.0,65.0,0.19021739,138.0,14.0,4.8750005424023275,1.5750001752376752,,,,,P,
Gage Stanifer,22,804948,"A,A+,AA",TOR,"TOR (A,A+,AA)",33.0,22.0,9.0,4.0,133.2,95.0,51.0,0.13523132,191.0,7.0,3.4339151303033253,1.2793017152110426,,,,,P,
Melvin Hernandez,18,808329,A,MIL,MIL (A),24.0,17.0,10.0,0.0,121.2,98.0,27.0,0.04517454,97.0,3.0,1.997260440963155,0.9863014523274839,,,,,P,
Luis Rodriguez,22,812160,"A,A+",HOU,"HOU (A,A+)",31.0,19.0,6.0,2.0,129.2,125.0,56.0,0.1024735,112.0,16.0,3.8868897079113087,1.411311143943987,,,,,P,
Junior Sanchez,20,808087,"A,A+",ARI,"ARI (A,A+)",27.0,23.0,8.0,0.0,128.1,96.0,32.0,0.08510638,123.0,7.0,2.2441561332210167,1.0909092314268831,,,,,P,
Jesus Escobar,20,808127,"A,CPX",ARI,"ARI (A,CPX)",16.0,7.0,5.0,0.0,61.1,64.0,32.0,0.09489051,39.0,7.0,4.695652417289299,1.4673913804029062,,,,,P,
Irving Cota,22,806522,"A,A+,AA",NYM,"NYM (A,A+,AA)",31.0,16.0,8.0,0.0,122.0,115.0,53.0,0.05555556,100.0,8.0,3.909836187826569,1.1721311841911937,,,,,P,
Jervis Alfaro,22,807697,A,CLE,CLE (A),26.0,16.0,7.0,0.0,112.1,116.0,44.0,0.06639004,105.0,5.0,3.5252227115448953,1.3175074780521325,,,,,P,
Eliezer Pena,20,807979,"CPX,DSL",COL,"COL (CPX,DSL)",13.0,8.0,0.0,0.0,49.0,40.0,26.0,0.13023256,63.0,1.0,4.775510204081633,1.3877551020408163,,,,,P,
Jhon Medina,20,808042,"A,CPX",COL,"COL (A,CPX)",20.0,12.0,5.0,0.0,66.1,65.0,43.0,0.14675768,63.0,4.0,5.834170127329882,1.6281405006501997,,,,,P,
Brayan Narvaez,21,808352,"CPX,DSL",SFG,"SFG (CPX,DSL)",14.0,11.0,1.0,0.0,51.0,37.0,18.0,0.06862745,45.0,2.0,3.176470588235294,1.0,,,,,P,
Elier Morillo,20,808497,"A,DSL",MIA,"MIA (A,DSL)",19.0,8.0,4.0,1.0,48.2,33.0,17.0,0.12735849,92.0,1.0,3.143835411082528,1.2328766317970699,,,,,P,
Pedro Peralta,19,808155,"CPX,DSL",PHI,"PHI (CPX,DSL)",14.0,12.0,0.0,0.0,48.2,39.0,30.0,0.16894977,41.0,2.0,5.54794617487999,1.561644108484738,,,,,P,
Walter Ford,21,703609,"A,A+",SEA,"SEA (A,A+)",29.0,29.0,5.0,0.0,153.2,169.0,87.0,0.05446293,115.0,21.0,5.095444959532038,1.3340564708864213,,,,,P,
Jose Urbina,20,808250,"A,A+",TBR,"TBR (A,A+)",26.0,26.0,8.0,0.0,122.0,100.0,34.0,0.08617234,126.0,13.0,2.5081967605246365,1.1721311658660882,,,,,P,
Sann Omosako,20,808020,CPX,TOR,TOR (CPX),13.0,5.0,4.0,1.0,48.1,55.0,20.0,0.02439024,40.0,6.0,3.7241381759734433,1.2413793919911478,,,,,P,
Joan Ogando,22,808010,"A,A+",HOU,"HOU (A,A+)",32.0,13.0,9.0,1.0,108.1,76.0,72.0,0.18163673,134.0,8.0,5.9815386370596855,1.541538506773098,,,,,P,
Abraham Parra,20,811600,"A,A+,CPX",SDP,"SDP (A,A+,CPX)",26.0,17.0,5.0,0.0,111.0,108.0,62.0,0.09657948,103.0,11.0,5.027027631694234,1.4054055744521514,,,,,P,
Francisco Pazos,20,802387,CPX,SEA,SEA (CPX),14.0,12.0,4.0,0.0,60.2,58.0,26.0,0.05905512,69.0,5.0,3.8571425337619543,1.2032966024129175,,,,,P,
Roman Angelo,26,809109,"AA,AAA",ARI,"ARI (AA,AAA)",35.0,29.0,7.0,0.0,150.0,145.0,93.0,0.12445095,148.0,27.0,5.58,1.5333333333333334,,,,,P,
Moises Morales,22,815473,"A,CPX",TEX,"TEX (A,CPX)",20.0,5.0,6.0,0.0,70.1,62.0,31.0,0.0738255,75.0,4.0,3.9668248238416566,1.1943128501888858,,,,,P,
Jason Savacool,24,691013,"A,A+,AAA",STL,"STL (A,A+,AAA)",31.0,20.0,7.0,1.0,115.0,99.0,43.0,0.10438413,104.0,11.0,3.365217447118634,1.2956521954022646,,,,,P,
Josh Bostick,23,701241,A+,SFG,SFG (A+),24.0,23.0,9.0,0.0,119.0,97.0,49.0,0.07910751,139.0,21.0,3.7058823529411766,1.1428571428571428,,,,,P,
Eric Yost,23,801293,"A+,AA",SDP,"SDP (A+,AA)",32.0,29.0,5.0,1.0,152.2,131.0,62.0,0.11719939,146.0,9.0,3.655022077603541,1.3624455056299938,,,,,P,
Chris Clark,24,805363,"A,A+,AA,AAA",LAA,"LAA (A,A+,AA,AAA)",36.0,30.0,4.0,0.0,171.0,165.0,88.0,0.07786885,179.0,18.0,4.631578902165022,1.298245601364438,,,,,P,
K.C. Hunt,25,687268,"AA,AAA",MIL,"MIL (AA,AAA)",33.0,28.0,9.0,0.0,141.0,132.0,75.0,0.09256198,137.0,20.0,4.787234107311521,1.3333333513697272,,,,,P,
Travis Sthele,23,691017,A+,WSN,WSN (A+),23.0,22.0,7.0,0.0,138.2,130.0,65.0,0.04278075,82.0,10.0,4.218750309485678,1.1105770045483665,,,,,P,
Riley Gowens,26,803035,"AA,AAA",CHW,"CHW (AA,AAA)",39.0,27.0,8.0,1.0,152.0,127.0,58.0,0.08702532,171.0,13.0,3.4342105263157894,1.1973684210526316,,,,,P,
Christian Oppor,21,803291,"A,A+,AA",CHW,"CHW (A,A+,AA)",28.0,28.0,4.0,0.0,106.1,77.0,49.0,0.14592275,128.0,8.0,4.147335621577803,1.3636364288634502,,,,,P,
Ixan Henderson,23,809100,AA,STL,STL (AA),25.0,25.0,9.0,0.0,132.0,99.0,38.0,0.09586466,134.0,5.0,2.590909090909091,1.1363636363636365,,,,,P,
Nick Payero,25,809579,A+,SEA,SEA (A+),23.0,16.0,5.0,0.0,107.1,105.0,55.0,0.10434783,99.0,18.0,4.611801460777968,1.4254659060586445,,,,,P,
Lucas Braun,24,814351,"AA,AAA",ATL,"ATL (AA,AAA)",34.0,33.0,9.0,0.0,183.1,157.0,77.0,0.0665779,170.0,23.0,3.780000144195562,1.1290909521623107,,,,,P,
Ryan Hawks,25,686470,"A+,AA",SEA,"SEA (A+,AA)",28.0,26.0,12.0,0.0,145.1,138.0,58.0,0.07419899,113.0,14.0,3.591743244967093,1.25229362180845,,,,,P,
Stu Flesland III,25,687317,"A+,AAA",COL,"COL (A+,AAA)",36.0,11.0,4.0,0.0,115.2,101.0,49.0,0.07006369,104.0,15.0,3.8126803877159636,1.1585015237050775,,,,,P,
Jake Bockenstedt,26,804728,"A+,AA",CHW,"CHW (A+,AA)",36.0,18.0,7.0,0.0,116.0,114.0,68.0,0.09859155,107.0,9.0,5.2758620581218665,1.4051724109050068,,,,,P,
Peyton Stumbo,24,814482,"A,A+,AA",PIT,"PIT (A,A+,AA)",32.0,27.0,1.0,0.0,117.1,119.0,59.0,0.07874016,101.0,12.0,4.525568304429496,1.3551136730777587,,,,,P,
Lucas Gordon,24,690981,"A+,AA",CHW,"CHW (A+,AA)",31.0,31.0,5.0,0.0,141.1,106.0,63.0,0.10017271,150.0,16.0,4.011792543064705,1.1603773845901442,,,,,P,
TJ Nichols,24,694375,"A+,AA,CPX",TBR,"TBR (A+,AA,CPX)",27.0,26.0,14.0,0.0,140.2,115.0,45.0,0.05424955,162.0,21.0,2.879147127641226,1.0308057617480932,,,,,P,
Sam Armstrong,25,814098,AA,CHC,CHC (AA),34.0,31.0,6.0,0.0,154.2,145.0,82.0,0.08006042,120.0,18.0,4.771552096808737,1.2801725137779538,,,,,P,
Luke Stofel,24,814477,"A,A+,AA",DET,"DET (A,A+,AA)",34.0,12.0,7.0,1.0,115.2,96.0,39.0,0.10483871,88.0,6.0,3.0345823494065836,1.2795389963309811,,,,,P,
Tate Kuehner,25,804249,"AA,AAA",MIL,"MIL (AA,AAA)",30.0,29.0,8.0,0.0,146.1,128.0,56.0,0.11642743,153.0,12.0,3.444191508569507,1.3735763754414105,,,,,P,
Ty Langenberg,24,807716,"A+,AA",MIN,"MIN (A+,AA)",30.0,28.0,5.0,0.0,139.0,143.0,73.0,0.09570957,132.0,8.0,4.726618705035971,1.4460431654676258,,,,,P,
Zack Lee,25,687033,"A,A+,AA",DET,"DET (A,A+,AA)",32.0,13.0,9.0,1.0,113.0,89.0,49.0,0.07725322,87.0,11.0,3.902655328372302,1.106194820967206,,,,,P,
Blake Money,23,690999,"A+,AA",BAL,"BAL (A+,AA)",26.0,18.0,6.0,1.0,121.1,107.0,53.0,0.08431373,152.0,16.0,3.931318846118585,1.2362637880876055,,,,,P,
Joe Whitman,24,802126,AA,SFG,SFG (AA),33.0,33.0,9.0,0.0,150.2,155.0,84.0,0.08950617,167.0,12.0,5.017699453823086,1.4137169096088855,,,,,P,
Andrew Sears,22,808825,"A+,AA",DET,"DET (A+,AA)",26.0,22.0,8.0,0.0,111.0,96.0,43.0,0.07708779,123.0,11.0,3.486486546395904,1.1891892096234091,,,,,P,
Corey Avant,24,813895,"A+,AA",OAK,"OAK (A+,AA)",38.0,29.0,6.0,0.0,138.2,125.0,64.0,0.11092437,142.0,7.0,4.1538460586198,1.377403814577052,,,,,P,
Hayden Minton,25,688354,"A,A+",DET,"DET (A,A+)",30.0,25.0,9.0,0.0,129.0,105.0,50.0,0.06994329,130.0,14.0,3.488372402490341,1.1007752914525075,,,,,P,
Jack Mahoney,24,694968,AA,COL,COL (AA),26.0,26.0,5.0,0.0,114.2,138.0,71.0,0.10097087,91.0,11.0,5.57267491297832,1.656976891182912,,,,,P,
Sean Sullivan,23,807743,"A,AA,AAA,CPX",COL,"COL (A,AA,AAA,CPX)",27.0,27.0,12.0,0.0,137.0,124.0,55.0,0.07029877,133.0,12.0,3.613138730146539,1.1970803065536006,,,,,P,
Ethan Bosacker,25,815073,"AA,AAA",KCR,"KCR (AA,AAA)",35.0,18.0,6.0,0.0,125.0,109.0,59.0,0.10131332,76.0,17.0,4.248000064819337,1.3040000198974613,,,,,P,
Matt Wilkinson,23,683363,"A+,AA",CLE,"CLE (A+,AA)",31.0,31.0,5.0,0.0,132.1,115.0,54.0,0.09747292,153.0,14.0,3.672544168826475,1.2770781163203173,,,,,P,
Jake Brooks,24,694860,"A+,AA",MIA,"MIA (A+,AA)",30.0,30.0,8.0,0.0,149.2,150.0,72.0,0.0496,138.0,11.0,4.3296216751215315,1.2093542024645019,,,,,P,
Kade Morris,24,695034,"AA,AAA",OAK,"OAK (AA,AAA)",36.0,36.0,12.0,0.0,192.1,202.0,97.0,0.08143713,163.0,24.0,4.538994920727151,1.403812862080562,,,,,P,
Nathan Dettmer,24,700579,"A,A+",OAK,"OAK (A,A+)",32.0,26.0,8.0,0.0,143.0,169.0,81.0,0.08320251,121.0,11.0,5.097902573876521,1.552447697394496,,,,,P,
Logan Martin,24,814803,"A+,AA",KCR,"KCR (A+,AA)",28.0,26.0,10.0,0.0,113.2,91.0,44.0,0.09421842,100.0,9.0,3.483871221068742,1.1876833708188894,,,,,P,
Hayden Mullins,25,683093,"A+,AA",BOS,"BOS (A+,AA)",28.0,26.0,10.0,0.0,129.1,76.0,36.0,0.12716763,165.0,8.0,2.505154774639791,1.0979382037001553,,,,,P,
Braydon Tucker,26,685319,"A+,AA",PHI,"PHI (A+,AA)",28.0,21.0,8.0,0.0,131.0,107.0,44.0,0.08015267,104.0,6.0,3.02290107145102,1.1374046960762676,,,,,P,
Shane Rademacher,25,815780,"A+,AA",SFG,"SFG (A+,AA)",36.0,21.0,8.0,0.0,140.1,134.0,60.0,0.06335616,93.0,27.0,3.8479808232911887,1.2185272607088764,,,,,P,
Owen Wild,23,801643,AA,TBR,TBR (AA),36.0,23.0,8.0,4.0,121.1,112.0,60.0,0.08893281,122.0,16.0,4.450549567153154,1.2939560778574912,,,,,P,
Jack Wenninger,24,811307,"AA,AAA",NYM,"NYM (AA,AAA)",33.0,33.0,15.0,0.0,169.0,133.0,48.0,0.08645533,185.0,14.0,2.5562132485486315,1.1420119374302915,,,,,P,
Patrick Copen,24,814527,"A+,AA",LAD,"LAD (A+,AA)",33.0,33.0,7.0,0.0,150.1,107.0,59.0,0.15582451,198.0,4.0,3.532150895557307,1.3968958344011948,,,,,P,
Cade Kuehler,24,805780,A+,ATL,ATL (A+),7.0,7.0,2.0,0.0,28.1,36.0,19.0,0.06976744,24.0,10.0,6.035294794788898,1.588235472312868,,,,,P,
Garrett Baumann,21,803833,"A+,AA",ATL,"ATL (A+,AA)",30.0,30.0,8.0,0.0,144.2,150.0,68.0,0.0798722,135.0,17.0,4.230415044013875,1.3824885764751225,,,,,P,
Juaron Watts-Brown,24,695033,"A+,AA",BAL,"BAL (A+,AA)",31.0,31.0,4.0,0.0,146.1,100.0,58.0,0.10033445,188.0,19.0,3.567198301665436,1.0933941154530071,,,,,P,
Ty Cummings,24,807744,"AA,AAA",TBR,"TBR (AA,AAA)",36.0,20.0,9.0,0.0,133.2,126.0,49.0,0.07815275,105.0,19.0,3.299252027252465,1.2718205093716985,,,,,P,
Brett Wichrowski,23,814489,AA,MIL,MIL (AA),29.0,26.0,6.0,0.0,130.0,130.0,63.0,0.09773124,105.0,13.0,4.361538525530573,1.4307692517613522,,,,,P,
Quinn Mathews,25,687273,"A,AAA,CPX",STL,"STL (A,AAA,CPX)",31.0,31.0,5.0,0.0,125.0,101.0,57.0,0.1705151,151.0,12.0,4.104,1.576,,,,,P,
Ty Johnson,24,694494,"AA,AAA",TBR,"TBR (AA,AAA)",27.0,21.0,7.0,0.0,113.2,69.0,32.0,0.08783784,154.0,5.0,2.5337245297281794,0.9501466986480673,,,,,P,
Noah Hall,25,801801,A+,NYM,NYM (A+),32.0,28.0,5.0,1.0,142.2,112.0,53.0,0.13204509,148.0,10.0,3.343458182323005,1.3598131810705725,,,,,P,
Alex Clemmey,20,806046,"A+,AA",WSN,"WSN (A+,AA)",32.0,32.0,8.0,0.0,139.2,105.0,60.0,0.15865385,165.0,14.0,3.8663486774896736,1.460620611496099,,,,,P,
Jacob Cravey,24,814837,"A,A+",BAL,"BAL (A,A+)",34.0,10.0,6.0,1.0,105.0,80.0,36.0,0.11389522,91.0,9.0,3.085714678083197,1.2380953955272087,,,,,P,
Chuck King,28,666155,"AA,AAA",PHI,"PHI (AA,AAA)",32.0,30.0,9.0,0.0,154.1,177.0,80.0,0.07079646,132.0,19.0,4.665226935606293,1.4578834173769666,,,,,P,
Levi Wells,24,694370,"AA,AAA",BAL,"BAL (AA,AAA)",32.0,28.0,4.0,2.0,127.2,118.0,51.0,0.08797127,129.0,10.0,3.5953001715732262,1.3080939622063807,,,,,P,
Kyle Carr,24,694805,"A+,AA",NYY,"NYY (A+,AA)",31.0,31.0,10.0,0.0,161.0,128.0,59.0,0.1006006,151.0,10.0,3.298136685035382,1.2111801385723153,,,,,P,
Ryan Birchard,22,804670,"A+,AA",MIL,"MIL (A+,AA)",33.0,24.0,5.0,0.0,123.2,77.0,50.0,0.18299445,146.0,7.0,3.6388143154927226,1.423180710059376,,,,,P,
Trent Sellers,26,815587,AA,NYY,NYY (AA),28.0,28.0,3.0,0.0,121.2,113.0,64.0,0.12222222,148.0,15.0,4.734246896953895,1.4712329766575472,,,,,P,
Khristian Curtis,24,694753,"A+,AA",PIT,"PIT (A+,AA)",34.0,33.0,8.0,0.0,139.2,118.0,66.0,0.09618574,160.0,18.0,4.252983603319235,1.260143289872366,,,,,P,
Josh Grosz,23,701056,"A+,AA",COL,"COL (A+,AA)",29.0,28.0,6.0,0.0,145.0,125.0,74.0,0.10322581,169.0,16.0,4.593103508694136,1.3034482930077953,,,,,P,
Kenten Egbert,24,687881,"A+,AAA",CHC,"CHC (A+,AAA)",32.0,18.0,7.0,1.0,117.0,138.0,62.0,0.05511811,73.0,10.0,4.769230846979367,1.41880344193293,,,,,P,
Will Sanders,24,691739,"AA,AAA",CHC,"CHC (AA,AAA)",30.0,26.0,12.0,0.0,138.2,148.0,80.0,0.08401977,143.0,19.0,5.192308001793366,1.4350962393845554,,,,,P,
Brody Hopkins,24,811315,"AA,AAA",TBR,"TBR (AA,AAA)",33.0,33.0,5.0,0.0,151.2,111.0,50.0,0.14,181.0,10.0,2.9670328675311457,1.3318680872028699,,,,,P,
Nestor German,24,815148,"A+,AA,AAA",BAL,"BAL (A+,AA,AAA)",34.0,33.0,7.0,0.0,159.1,133.0,69.0,0.09580838,190.0,14.0,3.897489337572547,1.2364016095036905,,,,,P,
Grant Rogers,25,814804,"A+,AA,AAA",TOR,"TOR (A+,AA,AAA)",35.0,35.0,12.0,0.0,178.2,184.0,78.0,0.06217617,134.0,15.0,3.9291046593735843,1.2985075227559424,,,,,P,
Steven Echavarria,20,806064,A+,OAK,OAK (A+),33.0,32.0,4.0,0.0,137.0,134.0,72.0,0.09747899,117.0,10.0,4.7299270072992705,1.4014598540145986,,,,,P,
Hiro Wyatt,21,702965,A,KCR,KCR (A),27.0,26.0,3.0,0.0,104.0,109.0,48.0,0.09210526,101.0,8.0,4.153846153846154,1.4519230769230769,,,,,P,
Trevor Harrison,20,807314,"A,A+",TBR,"TBR (A,A+)",28.0,28.0,8.0,0.0,130.0,104.0,45.0,0.12177122,127.0,8.0,3.1153849353452028,1.307692441996752,,,,,P,
Wyatt Crowell,24,694573,"A+,AA",LAD,"LAD (A+,AA)",30.0,23.0,6.0,2.0,116.2,79.0,49.0,0.16409266,139.0,7.0,3.7799998970031767,1.4057142474116122,,,,,P,
Luke Fox,24,803183,"A+,AA",LAD,"LAD (A+,AA)",26.0,25.0,5.0,0.0,117.2,83.0,36.0,0.11740891,133.0,8.0,2.753541002096846,1.1983002509125165,,,,,P,
Ricky Castro,26,690462,"AA,AAA",MIN,"MIN (AA,AAA)",37.0,16.0,4.0,2.0,114.2,125.0,71.0,0.07738095,114.0,17.0,5.57267482028325,1.4302326612307559,,,,,P,
Efrailin Ramos,20,820889,"CPX,DSL",TBR,"TBR (CPX,DSL)",15.0,7.0,1.0,0.0,57.2,43.0,20.0,0.08154506,60.0,1.0,3.121387730615434,1.0751446627675383,,,,,P,
Joel Cruz,22,816144,"CPX,DSL",LAD,"LAD (CPX,DSL)",15.0,13.0,0.0,0.0,54.0,54.0,23.0,0.06926407,52.0,3.0,3.8333333333333335,1.2962962962962963,,,,,P,
Marlon De La Cruz,20,821023,"CPX,DSL",WSN,"WSN (CPX,DSL)",14.0,13.0,2.0,0.0,53.2,50.0,25.0,0.1314741,59.0,2.0,4.19254631688211,1.5465837524498451,,,,,P,
Delni Uribe,18,821093,DSL,CLE,CLE (DSL),11.0,10.0,0.0,1.0,46.0,37.0,22.0,0.09090909,25.0,0.0,4.304347826086956,1.1956521739130435,,,,,P,
Alejandro Rivera,19,821122,"CPX,DSL",CLE,"CLE (CPX,DSL)",13.0,12.0,1.0,0.0,51.1,36.0,7.0,0.10344828,44.0,1.0,1.2272728488746592,1.110389720410406,,,,,P,
Edgar Gallegos,20,823735,"CPX,DSL",TOR,"TOR (CPX,DSL)",13.0,11.0,4.0,0.0,51.0,51.0,20.0,0.0531401,43.0,3.0,3.5294118802027756,1.215686314292067,,,,,P,
Jose Feliz,19,808243,CPX,WSN,WSN (CPX),14.0,13.0,2.0,0.0,61.1,57.0,15.0,0.0483871,51.0,2.0,2.2010871390539366,1.1250000932942343,,,,,P,
Stharlin Torres,20,820941,"A,CPX",CIN,"CIN (A,CPX)",13.0,9.0,0.0,0.0,51.1,44.0,23.0,0.0591133,57.0,7.0,4.032467932016737,1.090909198999697,,,,,P,
Fabian Gallardo,20,821142,"CPX,DSL",LAA,"LAA (CPX,DSL)",14.0,11.0,4.0,0.0,57.2,61.0,35.0,0.11439114,44.0,1.0,5.462427444544696,1.595375634597181,,,,,P,
Rubender Pena,21,823214,"CPX,DSL",TBR,"TBR (CPX,DSL)",12.0,11.0,1.0,0.0,55.1,41.0,21.0,0.11353712,52.0,1.0,3.4156628468331283,1.2108434430572466,,,,,P,
Esteban Luna,19,823718,"CPX,DSL",BAL,"BAL (CPX,DSL)",13.0,12.0,2.0,0.0,51.2,52.0,27.0,0.11392405,50.0,3.0,4.703225343448236,1.5290321075407844,,,,,P,
Salvador Casado,20,823883,"CPX,DSL",BAL,"BAL (CPX,DSL)",13.0,11.0,0.0,0.0,45.1,36.0,19.0,0.15492958,41.0,0.0,3.7720590880379317,1.5220589302609198,,,,,P,
Naimer Rosario,19,815946,"CPX,DSL",ARI,"ARI (CPX,DSL)",14.0,12.0,5.0,0.0,62.1,42.0,24.0,0.07377049,67.0,2.0,3.465240725654426,0.9625668682373405,,,,,P,
Franco Zabaleta,19,821032,"CPX,DSL",OAK,"OAK (CPX,DSL)",13.0,8.0,4.0,0.0,58.2,36.0,8.0,0.07079646,55.0,1.0,1.2272726208710565,0.8863635595179853,,,,,P,
