Name,Age,mlbID,Tm,Lev,team_abbr,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,position,depth
Starlin Miese,18,833069,minors,Maj-AL,"BAL (CPX,DSL)",188,137,28,35,24,6,3,2,19,42,45,13,5,0.255,0.446,0.387,OF,
Yeider Mindiol,19,833207,minors,Maj-NL,"NYM (CPX,DSL)",171,134,19,32,21,4,3,4,27,30,32,11,4,0.239,0.38,0.403,C/1B,
Angel Abre,17,834685,minors,Maj-AL,"CLE (CPX,DSL)",245,199,55,58,50,5,2,1,25,42,30,19,1,0.291,0.418,0.352,OF,
Darwin Almanza,18,829714,minors,Maj-AL,"MIN (CPX,DSL)",191,164,35,42,18,17,1,6,45,22,30,7,2,0.256,0.351,0.482,3B,
Juan Elejandr,18,829744,minors,Maj-NL,"ATL (CPX,DSL)",163,134,15,33,26,6,1,0,23,18,31,5,1,0.246,0.35,0.306,2B,
Steven Herrer,17,829749,minors,Maj-NL,MIA (DSL),180,142,40,38,21,11,0,6,26,32,54,17,5,0.268,0.411,0.472,2B,
Yorber Sempru,17,829774,minors,Maj-NL,NYM (DSL),158,137,28,42,32,7,2,1,20,17,23,15,1,0.307,0.386,0.409,2B/3B/SS,
Yeferson Portolati,17,829788,minors,Maj-NL,STL (DSL),174,115,43,26,14,9,1,2,21,51,31,23,4,0.226,0.483,0.374,2B,
Jefferson Varga,17,829963,minors,Maj-AL,CLE (DSL),161,128,27,27,22,4,1,0,11,29,36,5,1,0.211,0.362,0.258,2B/3B/SS,
Rosnel Alarco,17,829964,minors,Maj-AL,TEX (DSL),195,156,29,45,33,11,0,1,25,22,26,11,4,0.288,0.431,0.378,OF,
Daniel Mez,17,829995,minors,Maj-NL,COL (DSL),170,131,36,30,28,2,0,0,17,35,44,7,2,0.229,0.4,0.244,2B,
Ricardo Romer,18,829997,minors,Maj-AL,"CLE (CPX,DSL)",242,197,48,67,44,14,7,2,43,34,29,8,1,0.34,0.442,0.513,2B/3B,
Emil Martine,17,830422,minors,Maj-AL,TEX (DSL),189,164,22,34,28,4,0,2,13,20,40,5,6,0.207,0.302,0.268,2B/SS,
Roy River,17,830450,minors,Maj-AL,KCR (DSL),168,138,27,34,26,6,2,0,18,27,15,8,8,0.246,0.365,0.319,2B/SS,
Jhon GI,17,830459,minors,Maj-NL,LAD (DSL),150,122,28,38,29,7,1,1,27,24,20,14,0,0.311,0.433,0.41,C/2B,
Diego Contrera,18,832559,minors,Maj-AL,"SEA (CPX,DSL)",167,135,27,43,34,7,2,0,17,27,22,9,4,0.319,0.442,0.4,2B/OF,
Alex Rodrigue,17,835182,minors,Maj-AL,TEX (DSL),213,180,20,56,45,10,0,1,30,25,27,1,1,0.311,0.401,0.383,OF,
Steven Cru,19,821161,minors,Maj-AL,"CLE (CPX,DSL)",178,133,27,33,26,6,0,1,20,40,29,14,3,0.248,0.421,0.316,OF,
Liordanys Menende,17,824877,minors,Maj-AL,LAA (DSL),153,126,24,32,23,6,3,0,11,21,19,11,1,0.254,0.382,0.349,2B,
Yunior Ampar,19,825159,minors,Maj-NL,"NYM (CPX,DSL)",184,150,38,46,30,11,1,4,18,27,26,17,5,0.307,0.421,0.473,1B/OF,
Eliomar Garce,17,829055,minors,Maj-AL,TBR (DSL),181,144,26,37,28,5,2,2,25,29,22,10,5,0.257,0.385,0.361,2B/SS,
Gabriel Davalill,18,829058,minors,Maj-AL,"LAA (A,DSL)",294,241,38,66,46,10,1,9,46,40,57,3,0,0.274,0.381,0.436,C/3B,
John Taylo,25,822966,minors,Maj-AL,"TEX (A+,AA)",360,308,48,83,59,16,2,6,38,42,75,9,4,0.269,0.372,0.393,2B/SS,
CJ Hughe,18,834620,minors,Maj-NL,MIL (CPX),33,24,8,7,5,0,1,1,5,9,11,4,2,0.292,0.485,0.5,2B/SS,
JoJo Parke,19,828098,minors,Maj-AL,TOR (A),141,113,19,25,13,9,0,3,15,24,39,11,3,0.221,0.369,0.381,3B/SS,
Steele Hal,18,829162,minors,Maj-NL,CIN (CPX),36,26,10,5,1,1,1,2,7,10,9,5,1,0.192,0.417,0.538,SS,
Billy Carlso,19,815814,minors,Maj-AL,CHW (A),148,120,17,29,22,6,1,0,9,23,34,4,2,0.242,0.381,0.308,SS,
Daniel Pierc,19,828084,minors,Maj-AL,TBR (A),99,89,12,22,14,4,0,4,24,6,28,5,3,0.247,0.313,0.427,SS,
Xavier Neyen,19,815832,minors,Maj-AL,HOU (A),121,93,21,25,16,3,0,6,19,27,42,8,4,0.269,0.438,0.495,3B/SS,
Sean Gambl,19,815819,minors,Maj-AL,KCR (A),143,128,14,14,10,3,0,1,6,11,43,4,1,0.109,0.203,0.156,OF,
Josh Hammon,19,815843,minors,Maj-AL,KCR (A),144,125,23,37,20,13,2,2,17,18,31,8,0,0.296,0.382,0.48,3B/SS,
Jaden Fausk,19,828262,minors,Maj-AL,CHW (A),137,110,22,27,18,4,4,1,8,25,40,8,2,0.245,0.394,0.382,OF,
Cooper Flemmin,19,828237,minors,Maj-AL,TBR (A),141,119,21,40,27,8,2,3,25,17,23,5,3,0.336,0.433,0.513,3B/SS,
Ryan Mitchel,19,815829,minors,Maj-NL,STL (A),140,114,25,21,14,3,0,4,11,25,50,9,3,0.184,0.336,0.316,OF,
Dean Mos,20,815830,minors,Maj-AL,TBR (A),119,98,18,24,16,5,0,3,15,15,16,5,1,0.245,0.347,0.388,2B/OF,
Taitn Gra,18,828685,minors,Maj-AL,TBR (A),138,111,20,33,24,1,3,5,23,22,26,3,0,0.297,0.413,0.495,1B,
Gustavo Melende,18,828116,minors,Maj-NL,PIT (CPX),26,16,6,2,0,2,0,0,2,9,3,3,0,0.125,0.462,0.25,2B,
Coy Jame,19,815983,minors,Maj-NL,WSN (A),150,121,26,23,14,4,1,4,26,27,38,14,1,0.19,0.347,0.339,2B/3B,
Tim Piasenti,19,815992,minors,Maj-AL,TOR (CPX),41,31,7,6,5,1,0,0,4,10,12,0,0,0.194,0.39,0.226,3B,
Jaiden Lo R,19,828318,minors,Maj-AL,BAL (CPX),30,28,3,10,9,0,0,1,6,2,2,3,0,0.357,0.4,0.464,2B/3B,
Jack Wheele,19,828087,minors,Maj-AL,TEX (CPX),22,21,4,6,3,2,0,1,2,1,7,0,0,0.286,0.318,0.524,3B,
Josiah Hartshor,19,815824,minors,Maj-NL,CHC (A),147,111,23,31,20,5,1,5,21,32,21,4,1,0.279,0.449,0.477,1B/OF,
Jase Mitchel,19,834234,minors,Maj-AL,HOU (CPX),22,10,3,0,0,0,0,0,2,10,6,2,2,0.0,0.545,0.0,C/1B,
Anthony Frobos,18,834597,minors,Maj-NL,NYM (CPX),31,24,8,6,5,0,0,1,4,4,8,3,1,0.25,0.387,0.375,2B/SS,
Wyatt Vincen,19,831488,minors,Maj-NL,NYM (CPX),25,16,6,6,4,2,0,0,1,8,4,3,2,0.375,0.6,0.5,OF,
Blaine Bullar,19,828557,minors,Maj-AL,TOR (A),135,116,20,28,17,5,2,4,16,12,44,16,1,0.241,0.328,0.422,OF,
Landon Arroyo,19,825968,minors,Maj-AL,HOU (CPX),24,19,3,4,4,0,0,0,2,5,8,3,0,0.211,0.375,0.211,2B/SS,
Jay McQuee,19,827084,minors,Maj-AL,TEX (CPX),29,22,6,9,7,1,1,0,5,6,6,1,1,0.409,0.552,0.545,OF,
Rod Barajas Jr,21,805371,minors,Maj-NL,SFG (A),120,110,18,32,19,9,0,4,19,7,23,1,0,0.291,0.342,0.482,C,
Tyson Mora,20,828903,minors,Maj-AL,KCR (CPX),36,30,6,7,2,2,0,3,17,1,4,0,0,0.233,0.278,0.6,1B/2B,
Andrews Opat,22,836168,minors,Maj-AL,BOS (A),116,94,20,24,15,5,2,2,14,20,36,17,3,0.255,0.388,0.415,OF,
Kendrey Madur,22,701342,minors,Maj-AL,LAA (A),154,135,27,34,23,7,0,4,17,14,34,5,1,0.252,0.344,0.393,SS,
Jonny McGil,24,692169,minors,Maj-AL,LAA (A),145,114,23,28,20,5,0,3,12,27,28,12,2,0.246,0.407,0.368,OF,
Ty Hodg,23,695606,minors,Maj-AL,BOS (A),116,95,13,17,13,2,0,2,10,17,26,1,3,0.179,0.319,0.263,3B,
Hayden Jatcza,24,833426,minors,Maj-NL,SFG (A),155,125,30,34,21,9,1,3,21,26,33,2,2,0.272,0.4,0.432,1B,
Conner Westenbur,22,836173,minors,Maj-NL,SDP (A),110,96,21,32,22,5,4,1,17,6,29,14,2,0.333,0.402,0.5,OF,
JT Benso,24,694842,minors,Maj-NL,NYM (A),119,104,17,29,11,9,5,4,20,9,32,7,3,0.279,0.361,0.577,OF,
Ryland Zaborowsk,24,695301,minors,Maj-AL,LAA (CPX),32,25,5,10,6,2,0,2,11,5,5,0,1,0.4,0.531,0.72,1B,
Sam Whit,22,802517,minors,Maj-AL,TOR (CPX),29,20,7,6,5,1,0,0,2,7,5,0,0,0.3,0.483,0.35,1B,
Corey Cousi,19,827474,minors,Maj-AL,KCR (CPX),31,23,10,7,4,1,2,0,2,7,8,3,0,0.304,0.452,0.522,OF,
Luis Hern\xc3\xa1nde,17,836582,minors,Maj-NL,SFG (CPX),42,36,9,16,7,5,0,4,19,4,6,0,0,0.444,0.5,0.917,3B/SS,
Rudy Martin Jr,30,657675,minors,Maj-AL,"KCR (AA,AAA)",441,371,65,98,69,17,3,9,50,55,97,57,9,0.264,0.364,0.399,OF,
Leandro Cede\xc3\xb1,27,660681,minors,Maj-NL,SDP (AA),104,87,13,26,16,5,1,4,13,13,24,1,0,0.299,0.404,0.517,1B/OF,
Mois\xc3\xa9s G\xc3\xb3me,26,664332,minors,Maj-NL,"SDP (AA,AAA)",448,398,40,91,55,27,2,7,46,38,131,9,1,0.229,0.301,0.359,OF,
James Nelso,28,663445,minors,Maj-AL,"HOU (AA,AAA)",142,133,20,41,27,8,0,6,14,7,31,7,2,0.308,0.352,0.504,3B,
Bryan Torre,28,663494,minors,Maj-NL,STL (AAA),564,449,80,148,109,26,2,11,67,96,79,34,8,0.33,0.443,0.47,2B/OF,
Jes\xc3\xbas Bastida,27,665846,minors,Maj-NL,ATL (AAA),693,606,93,157,92,44,2,19,102,58,170,19,2,0.259,0.34,0.432,2B/SS,
Ismael Mungui,27,665998,minors,Maj-AL,"NYY (AA,AAA)",430,377,65,103,78,18,2,5,42,34,35,25,11,0.273,0.34,0.371,OF,
Yonathan Perlaz,26,666632,minors,Maj-NL,SDP (AAA),624,541,106,166,96,49,2,19,113,74,125,15,7,0.307,0.391,0.51,OF,
