Name,Age,mlbID,Tm,Lev,team_abbr,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,position,depth
CJ Alexande,29,680769,minors,Maj-NL,LAD (AAA),633,555,93,143,82,30,6,25,92,74,180,8,3,0.258,0.344,0.468,3B,
Rodolfo Dur\xc3\xa1,28,660710,minors,Maj-NL,SDP (AAA),454,400,79,111,70,18,3,20,93,39,90,4,1,0.278,0.347,0.488,C,
Alejo Lope,30,664670,minors,Maj-AL,OAK (AAA),530,456,69,118,94,17,2,5,50,53,69,17,4,0.259,0.356,0.338,2B,
Luken Bake,29,663609,minors,Maj-NL,STL (AAA),531,448,62,104,53,29,2,20,70,75,136,0,0,0.232,0.343,0.44,1B/DH,
Coco Monte,28,663796,minors,Maj-AL,TBR (AAA),415,375,44,82,55,19,0,8,38,32,123,7,2,0.219,0.287,0.333,2B,
Oswaldo Cabrer,27,665828,minors,Maj-AL,NYY (AAA),149,132,18,30,20,6,1,3,16,16,34,2,0,0.227,0.309,0.356,3B/OF,
Esteury Rui,27,665923,minors,Maj-NL,LAD (AAA),513,428,99,127,79,25,6,17,62,66,98,64,11,0.297,0.404,0.502,OF,
Rodolfo Castr,26,666801,minors,Maj-NL,PHI (AAA),525,456,72,107,61,26,1,19,82,54,119,18,8,0.235,0.324,0.421,2B/SS,
Nick Pratt,27,668472,minors,Maj-AL,KCR (AAA),482,427,56,82,48,20,3,11,50,49,147,9,0,0.192,0.279,0.33,1B,
Ryan Vilad,26,668723,minors,Maj-NL,STL (AAA),461,397,75,115,65,29,4,17,66,50,89,11,2,0.29,0.378,0.511,OF,
Akil Baddo,26,668731,minors,Maj-AL,"DET (A,AAA)",484,408,75,114,71,21,6,16,52,70,117,27,4,0.279,0.384,0.478,OF,
MJ Melende,27,669004,minors,Maj-AL,KCR (AAA),536,484,77,124,62,36,4,22,67,44,148,21,10,0.256,0.319,0.483,OF,
Luis Campusan,26,669134,minors,Maj-NL,SDP (AAA),475,393,83,132,81,25,1,25,95,72,82,2,0,0.336,0.441,0.595,C,
Mason McCo,31,669200,minors,Maj-NL,SDP (AAA),538,466,88,129,81,28,3,17,86,56,134,23,8,0.277,0.355,0.459,SS,
Samad Taylo,27,669392,minors,Maj-AL,SEA (AAA),813,691,148,207,142,31,10,24,108,90,152,50,11,0.3,0.381,0.478,2B/OF,
Cal Stevenso,29,670276,minors,Maj-NL,PHI (AAA),424,343,62,86,61,13,2,10,52,70,100,23,5,0.251,0.379,0.388,OF,
Buddy Kenned,27,671083,minors,Maj-AL,TOR (AAA),538,462,79,136,93,29,2,12,72,59,77,7,1,0.294,0.387,0.444,2B/3B,
Johnathan Rodr\xc3\xadgue,26,671286,minors,Maj-AL,CLE (AAA),460,396,60,124,87,19,1,17,69,57,105,0,2,0.313,0.402,0.495,OF,
Michael Sian,26,672279,minors,Maj-NL,STL (AAA),537,457,85,97,67,17,5,8,51,67,136,33,7,0.212,0.316,0.324,OF,
Jarred Keleni,26,672284,minors,Maj-NL,ATL (AAA),503,446,56,94,60,21,3,10,47,55,140,18,8,0.211,0.298,0.339,OF,
Tirso Ornela,26,672359,minors,Maj-NL,"SDP (AA,AAA)",493,423,77,117,73,29,0,15,73,59,85,7,2,0.277,0.368,0.452,OF,
Steward Berro,27,672642,minors,Maj-NL,"LAD (A+,AAA,CPX)",474,389,72,96,68,20,2,6,43,69,119,42,11,0.247,0.358,0.355,OF,
Jos\xc3\xa9 Barrer,28,676480,minors,Maj-NL,STL (AAA),467,406,61,95,58,15,2,20,59,48,128,16,8,0.234,0.325,0.429,SS,
Jordyn Adam,26,677941,minors,Maj-AL,"BAL (AA,AAA)",412,361,56,76,48,9,6,13,61,38,126,20,5,0.211,0.292,0.377,OF,
Jordan Groshan,26,677954,minors,Maj-AL,"KCR (AA,AAA)",408,365,43,99,73,11,4,11,55,37,63,0,3,0.271,0.343,0.414,3B,
Brandon Valenzuel,25,678218,minors,Maj-AL,"TOR (AA,AAA)",496,435,53,97,60,20,1,16,62,54,118,6,2,0.223,0.308,0.384,C,
Ji Hwan Ba,26,678225,minors,Maj-NL,"PIT (A,AAA)",456,396,76,115,78,27,7,3,36,50,96,32,6,0.29,0.377,0.417,2B/OF,
Jorbit Viva,24,678391,minors,Maj-AL,NYY (AAA),459,374,59,101,75,21,1,4,43,64,45,12,9,0.27,0.389,0.364,2B/3B,
Jorge Barros,24,678489,minors,Maj-NL,ARI (AAA),456,394,67,116,78,29,2,7,58,54,95,10,4,0.294,0.378,0.431,OF,
Osleivis Basab,25,678545,minors,Maj-NL,SFG (AAA),585,530,74,132,82,31,2,17,78,39,101,10,1,0.249,0.309,0.411,SS,
Liover Peguer,25,678894,minors,Maj-NL,PIT (AAA),449,393,53,98,63,28,1,6,60,44,97,12,3,0.249,0.326,0.372,2B/SS,
Jonathan Ornela,26,680716,minors,Maj-AL,TEX (AAA),549,479,62,107,79,10,5,13,49,60,136,10,5,0.223,0.315,0.347,3B/SS,
Michael Helma,30,680737,minors,Maj-AL,TEX (AAA),454,405,72,89,50,24,1,14,52,35,99,17,3,0.22,0.29,0.388,OF,
Ryan Fitzgeral,32,680837,minors,Maj-AL,MIN (AAA),437,387,57,117,75,26,5,11,68,43,82,8,5,0.302,0.377,0.481,2B/SS,
Owen Mille,29,680911,minors,Maj-NL,COL (AAA),527,472,74,127,85,26,3,13,73,36,81,13,4,0.269,0.323,0.419,1B/2B,
Bryan Lavastid,27,681526,minors,Maj-AL,"OAK (AA,AAA)",478,420,56,114,82,18,3,11,52,45,87,25,9,0.271,0.349,0.407,C,
Justin Dea,29,681909,minors,Maj-NL,LAD (AAA),476,409,81,111,78,17,8,8,48,60,119,31,10,0.271,0.371,0.411,OF,
Nate Eato,29,681987,minors,Maj-AL,BOS (AAA),551,480,84,136,85,31,4,16,71,51,125,21,8,0.283,0.363,0.465,3B/OF,
Levi Jorda,30,682119,minors,Maj-NL,CIN (AAA),488,439,58,105,75,21,2,7,31,38,73,18,2,0.239,0.308,0.344,OF,
Drew Avan,30,682183,minors,Maj-AL,OAK (AAA),575,490,95,133,101,21,2,9,77,72,113,48,11,0.271,0.364,0.378,OF,
Ronny Simo,26,682927,minors,Maj-NL,PIT (AAA),464,393,60,122,89,18,4,11,64,61,81,34,9,0.31,0.401,0.461,2B/OF,
Michael Stefani,30,683021,minors,Maj-AL,TOR (AAA),591,487,62,135,103,24,0,8,68,76,60,9,7,0.277,0.39,0.376,2B,
Omar Martine,24,683079,minors,Maj-AL,"NYY (A+,AA,AAA)",508,438,61,96,64,15,1,16,62,59,165,1,2,0.219,0.317,0.368,C,
Nick Sogar,28,686765,minors,Maj-AL,BOS (AAA),577,470,91,129,88,31,0,10,51,99,102,20,7,0.274,0.4,0.404,2B,
Aaron Schun,28,668845,minors,Maj-NL,COL (AAA),518,463,74,136,88,26,7,15,82,42,97,6,4,0.294,0.355,0.477,2B/3B/SS,
Marco Lucian,24,682617,minors,Maj-NL,"SFG (AA,AAA)",695,581,110,138,72,31,1,34,92,101,205,13,4,0.238,0.351,0.47,SS,
Bryan Ramo,24,682868,minors,Maj-AL,CHW (AAA),563,478,66,102,64,21,1,16,55,61,127,18,7,0.213,0.317,0.362,3B,
Cody Freema,25,683227,minors,Maj-AL,"TEX (AAA,CPX)",429,386,75,129,85,25,0,19,72,32,37,8,5,0.334,0.379,0.547,2B,
Cam Devanne,28,687478,minors,Maj-NL,PIT (AAA),435,379,52,101,58,20,3,20,66,44,107,5,3,0.266,0.353,0.493,3B,
Grant McCra,25,687529,minors,Maj-NL,SFG (AAA),661,568,98,135,88,24,5,18,90,79,173,32,5,0.238,0.328,0.393,OF,
Dustin Harri,26,687957,minors,Maj-AL,TEX (AAA),466,410,78,114,80,20,2,12,45,46,84,34,4,0.278,0.36,0.424,OF,
Blaine Cri,29,688760,minors,Maj-AL,TEX (AAA),644,562,86,156,97,31,1,27,116,73,125,6,3,0.278,0.365,0.48,1B,
Andre Lipciu,27,686531,minors,Maj-AL,CHW (AAA),421,371,56,89,49,21,1,18,71,37,77,3,2,0.24,0.318,0.447,3B,
Logan Davidso,28,669722,minors,Maj-AL,OAK (AAA),576,468,74,109,66,26,2,15,73,95,165,14,3,0.233,0.372,0.393,1B,
Ryan Kreidle,28,668952,minors,Maj-NL,PIT (AAA),514,426,61,104,56,34,4,10,53,77,143,21,12,0.244,0.368,0.413,3B/SS,
Kevin Alc\xc3\xa1ntar,23,682634,minors,Maj-NL,CHC (AAA),588,517,80,134,71,32,0,31,98,67,182,13,5,0.259,0.345,0.501,OF,
Matthew Lug,25,683090,minors,Maj-AL,"LAA (AA,AAA)",608,542,81,141,89,31,7,14,80,54,172,21,8,0.26,0.336,0.421,OF,
Vaughn Grisso,25,687093,minors,Maj-AL,BOS (AAA),454,405,70,112,73,26,0,13,53,38,80,9,3,0.277,0.344,0.437,2B,
Tristin Englis,29,663536,minors,Maj-NL,"ARI (AA,AAA,CPX)",530,493,66,150,95,33,1,21,100,24,90,0,0,0.304,0.344,0.503,1B,
Dominic Fletche,28,666150,minors,Maj-AL,"CHW (A,AAA,CPX)",477,433,62,111,67,21,4,19,72,29,97,7,4,0.256,0.313,0.455,OF,
Darell Hernai,23,687231,minors,Maj-AL,OAK (AAA),445,387,67,118,83,28,3,4,50,46,51,12,0,0.305,0.383,0.424,3B/SS,
Kenedy Coron,26,685744,minors,Maj-AL,"HOU (AA,AAA)",543,473,65,105,75,16,3,11,53,56,129,26,5,0.222,0.309,0.338,OF,
John Rav,28,670231,minors,Maj-AL,KCR (AAA),438,372,81,105,61,21,5,18,53,52,92,29,2,0.282,0.373,0.511,OF,
Oliver Dun,28,686554,minors,Maj-NL,MIL (AAA),633,543,80,123,75,27,6,15,72,76,187,32,6,0.227,0.333,0.381,3B,
Davis Wendze,29,673995,minors,Maj-NL,"CIN (A+,AAA)",510,436,68,107,60,28,0,19,72,58,94,1,0,0.245,0.347,0.44,3B,
Jonatan Clas,24,682729,minors,Maj-AL,TOR (AAA),415,364,50,90,55,26,1,8,29,43,106,36,5,0.247,0.33,0.39,OF,
Yohendrick Pi\xc3\xb1ang,24,682818,minors,Maj-AL,"TOR (AA,AAA)",625,534,67,140,84,36,2,18,83,80,129,8,0,0.262,0.362,0.438,OF,
Jesus Rodrigue,24,683679,minors,Maj-NL,"SFG (AA,AAA)",680,589,96,183,146,25,3,9,73,78,89,25,9,0.311,0.394,0.409,C,
Ryan War,28,669899,minors,Maj-NL,LAD (AAA),820,704,135,204,116,39,7,42,152,111,155,21,6,0.29,0.387,0.544,1B,
Robert Hassell II,24,690987,minors,Maj-NL,WSN (AAA),457,405,61,118,88,19,0,11,61,49,94,20,5,0.291,0.369,0.42,OF,
Rece Hind,25,677956,minors,Maj-NL,CIN (AAA),535,471,98,143,79,29,4,31,103,51,139,24,6,0.304,0.373,0.58,OF,
Owen Caissi,22,683357,minors,Maj-NL,CHC (AAA),433,370,74,106,54,28,2,22,55,57,121,5,4,0.286,0.386,0.551,OF,
Justin Foscu,27,679822,minors,Maj-AL,"TEX (AAA,CPX)",602,522,84,137,78,38,0,21,82,68,86,10,0,0.262,0.353,0.456,1B/DH,
Nick York,24,694377,minors,Maj-NL,PIT (AAA),451,411,57,115,84,21,3,7,59,37,99,18,6,0.28,0.341,0.397,2B/3B,
Gage Workma,26,669398,minors,Maj-AL,CHW (AAA),508,443,80,119,58,34,8,19,76,57,172,24,4,0.269,0.354,0.51,3B,
Alika William,27,675961,minors,Maj-NL,PIT (AAA),526,471,69,132,96,21,4,11,60,38,89,5,4,0.28,0.344,0.412,SS,
Brett Wisel,27,689172,minors,Maj-NL,SFG (AAA),471,415,56,110,69,30,2,9,62,44,97,17,2,0.265,0.341,0.412,2B,
Zac Vee,24,691728,minors,Maj-NL,"COL (AAA,CPX)",581,505,85,147,97,30,5,15,86,68,122,25,7,0.291,0.377,0.459,OF,
Tyler Gentr,27,694355,minors,Maj-AL,KCR (AAA),431,374,50,85,47,23,3,12,58,40,108,7,3,0.227,0.314,0.401,OF,
Shay Whitcom,27,694376,minors,Maj-AL,HOU (AAA),523,457,75,122,68,25,0,29,74,54,141,20,3,0.267,0.354,0.512,2B/3B,
Petey Halpi,24,690984,minors,Maj-AL,CLE (AAA),681,605,105,151,94,35,6,16,58,64,185,24,3,0.25,0.322,0.407,OF,
Adael Amado,23,691182,minors,Maj-NL,COL (AAA),538,454,74,129,92,19,4,14,80,74,65,28,10,0.284,0.388,0.436,2B,
Maximo Acost,23,691185,minors,Maj-NL,MIA (AAA),537,475,69,105,69,19,3,14,57,56,143,43,10,0.221,0.309,0.362,2B/3B/SS,
Deyvison De Los Santo,23,691277,minors,Maj-NL,"MIA (A,AAA,CPX)",585,521,75,127,92,18,1,16,75,51,125,24,8,0.244,0.318,0.374,1B/DH,
Jose Fernande,22,699912,minors,Maj-NL,"ARI (AA,AAA)",515,475,68,128,80,27,4,17,80,32,105,12,4,0.269,0.318,0.451,1B/DH,
Jhostynxon Garci,23,691373,minors,Maj-AL,"BOS (A,AA,AAA)",584,522,91,138,88,19,4,27,87,51,156,7,1,0.264,0.333,0.471,OF,
Jeferson Quer,23,691620,minors,Maj-NL,"MIL (AAA,CPX)",438,375,61,99,58,24,1,16,82,48,73,4,0,0.264,0.354,0.461,C,
Tsung-Che Chen,24,691907,minors,Maj-NL,"PIT (A,AAA)",535,453,54,96,71,15,5,5,46,69,133,25,12,0.212,0.316,0.3,2B/SS,
Yanquiel Fern\xc3\xa1nde,23,692585,minors,Maj-NL,COL (AAA),416,378,63,103,61,19,1,22,63,32,67,0,2,0.272,0.329,0.503,DH/OF,
Felix Reye,25,694025,minors,Maj-NL,"PHI (AA,AAA)",505,471,76,156,88,42,4,22,82,22,83,13,3,0.331,0.359,0.577,1B/OF,
Denzer Guzma,22,694203,minors,Maj-AL,"LAA (AA,AAA)",715,619,90,163,99,39,1,24,110,82,171,18,6,0.263,0.354,0.446,SS,
Mois\xc3\xa9s Ballestero,21,694208,minors,Maj-NL,CHC (AAA),509,446,62,141,98,29,1,13,76,49,67,5,2,0.316,0.385,0.473,DH,
Tanner Murra,26,695020,minors,Maj-AL,TBR (AAA),602,545,73,133,83,30,0,20,65,45,145,7,4,0.244,0.308,0.409,OF,
Carter Jense,21,695600,minors,Maj-AL,"KCR (AA,AAA)",492,427,72,124,79,20,5,20,76,60,122,10,1,0.29,0.377,0.501,C/DH,
Blake Dun,27,694362,minors,Maj-NL,CIN (AAA),560,473,80,136,106,20,2,8,53,65,127,31,4,0.288,0.389,0.389,OF,
Justyn-Henry Mallo,26,669234,minors,Maj-AL,DET (AAA),473,379,65,103,66,23,0,14,65,80,108,12,3,0.272,0.408,0.443,DH/OF,
Chad Steven,27,677060,minors,Maj-AL,LAA (AAA),679,591,110,181,120,35,6,20,99,73,153,26,5,0.306,0.389,0.487,2B/3B,
Joe Mac,23,691788,minors,Maj-NL,"MIA (AA,AAA)",571,490,80,125,75,24,2,24,67,65,149,10,3,0.255,0.347,0.459,C,
Niko Kavada,27,694359,minors,Maj-AL,LAA (AAA),635,516,93,129,65,28,3,33,110,99,191,1,1,0.25,0.384,0.508,1B/DH,
TJ Rumfiel,25,681198,minors,Maj-AL,NYY (AAA),587,499,85,142,94,31,1,16,87,70,108,5,2,0.285,0.378,0.447,1B,
Jack Winkle,27,676466,minors,Maj-NL,MIA (AAA),436,388,52,85,60,15,0,10,45,38,128,27,2,0.219,0.296,0.335,2B,
Darren Bake,27,671117,minors,Maj-NL,WSN (AAA),431,374,53,94,75,15,3,1,29,48,75,29,8,0.251,0.338,0.316,2B/DH,
Harry For,23,695670,minors,Maj-AL,SEA (AAA),586,480,80,127,88,22,0,17,81,93,124,7,7,0.265,0.391,0.417,C,
Bob Seymou,26,676044,minors,Maj-AL,TBR (AAA),443,403,70,106,52,21,3,30,87,38,114,1,0,0.263,0.327,0.553,1B,
Carson William,23,700246,minors,Maj-AL,TBR (AAA),588,507,96,111,60,17,6,28,76,73,194,28,9,0.219,0.322,0.442,SS,
Tristan Peter,25,671976,minors,Maj-AL,TBR (AAA),555,482,73,128,82,28,3,15,76,65,102,11,7,0.266,0.355,0.429,OF,
Hao-Yu  Le,23,701678,minors,Maj-AL,"DET (A,AAA)",618,533,83,128,82,23,8,15,68,67,130,22,6,0.24,0.335,0.398,2B/3B,
Oscar Col\xc3\xa1,26,693049,minors,Maj-AL,"CHW (AA,AAA)",421,379,40,78,49,11,3,15,58,38,107,5,1,0.206,0.278,0.369,OF,
C\xc3\xa9sar Priet,27,693409,minors,Maj-NL,STL (AAA),630,566,98,171,109,42,5,15,85,44,88,13,14,0.302,0.362,0.473,2B/3B/DH,
Jimmy Crook,24,699625,minors,Maj-NL,STL (AAA),569,501,88,135,84,24,1,26,106,60,157,1,0,0.269,0.353,0.477,C,
Jakob Marse,24,805300,minors,Maj-NL,MIA (AAA),429,345,56,85,52,14,5,14,37,68,81,47,13,0.246,0.379,0.438,OF,
Tyler Locklea,25,682988,minors,Maj-AL,"SEA (AAA,CPX)",468,403,71,126,78,27,1,20,86,51,96,18,6,0.313,0.397,0.533,1B,
Jace Jun,25,690291,minors,Maj-AL,DET (AAA),647,534,96,137,79,35,1,22,89,106,157,4,4,0.257,0.377,0.449,3B,
Daniel Susa,25,691740,minors,Maj-AL,OAK (AAA),428,377,53,108,68,19,1,20,73,37,110,8,3,0.286,0.362,0.501,C,
Henry Bolt,22,703607,minors,Maj-AL,"OAK (AA,AAA)",665,573,107,173,116,27,9,21,84,74,180,61,4,0.302,0.394,0.49,OF,
Wade Meckle,26,685133,minors,Maj-NL,"SFG (AA,AAA,CPX)",542,451,68,133,101,24,3,5,50,84,96,17,3,0.295,0.406,0.395,OF,
Sal Stewar,21,701398,minors,Maj-NL,"CIN (AA,AAA)",494,437,78,135,81,34,0,20,80,46,77,17,3,0.309,0.383,0.524,1B,
Tim Elk,26,671284,minors,Maj-AL,CHW (AAA),414,373,64,109,64,19,0,26,70,34,123,2,0,0.292,0.357,0.552,1B,
Spencer Jone,25,682987,minors,Maj-AL,"NYY (AA,AAA)",648,558,127,151,74,30,1,46,121,76,225,36,8,0.271,0.363,0.575,DH/OF,
Drew Gilber,25,687551,minors,Maj-NL,"SFG (A,AAA)",464,388,63,103,62,22,4,15,58,56,71,6,3,0.265,0.371,0.459,OF,
Trey Lipscom,26,702358,minors,Maj-NL,WSN (AAA),620,571,68,140,86,36,1,17,82,43,128,14,6,0.245,0.299,0.401,3B,
Zach Col,25,805904,minors,Maj-AL,"HOU (A,AA,AAA)",453,387,69,106,54,23,8,21,69,59,156,18,8,0.274,0.377,0.537,OF,
Alex Freelan,24,690976,minors,Maj-NL,LAD (AAA),518,424,78,111,65,30,0,16,84,84,114,18,6,0.262,0.382,0.446,2B/3B,
Dylan Beaver,23,687637,minors,Maj-AL,BAL (AAA),418,342,78,104,70,14,2,18,51,68,76,23,5,0.304,0.42,0.515,OF,
Justin Crawfor,21,702222,minors,Maj-NL,PHI (AAA),506,440,88,147,113,23,4,7,47,58,91,46,11,0.334,0.411,0.452,OF,
Otto Kem,26,805249,minors,Maj-NL,PHI (AAA),431,357,74,109,59,29,2,19,88,43,104,15,4,0.305,0.406,0.557,3B/OF,
Rhylan Thoma,26,689041,minors,Maj-AL,SEA (AAA),775,689,121,212,175,27,1,9,87,58,47,41,10,0.308,0.362,0.389,OF,
Colby Thoma,25,687515,minors,Maj-AL,OAK (AAA),462,401,80,118,69,24,2,23,93,40,122,8,5,0.294,0.371,0.536,OF,
Rafael Flores Jr,25,804668,minors,Maj-NL,"PIT (AA,AAA)",727,639,82,171,111,32,3,25,109,75,192,6,0,0.268,0.348,0.444,1B,
Carson McCuske,27,676812,minors,Maj-AL,MIN (AAA),438,390,57,96,49,25,0,22,70,36,148,5,2,0.246,0.316,0.479,OF,
Brice Matthew,23,694728,minors,Maj-AL,HOU (AAA),498,419,70,109,67,18,7,17,64,70,139,41,11,0.26,0.371,0.458,2B/OF,
Bryce Eldridg,21,805811,minors,Maj-NL,"SFG (AA,AAA,CPX)",570,498,71,138,81,27,0,30,106,62,168,1,1,0.277,0.36,0.512,1B/DH,
Jim Jarvi,25,805347,minors,Maj-AL,"DET (AA,AAA)",580,511,86,136,97,30,3,6,59,56,83,31,7,0.266,0.35,0.372,SS,
Kevin McGonigl,20,805808,minors,Maj-AL,"DET (A,A+,AA)",397,331,68,101,49,31,2,19,80,59,46,10,7,0.305,0.408,0.583,3B/SS,
Kristian Campbel,24,692225,minors,Maj-AL,BOS (AAA),473,395,55,107,78,17,2,10,55,62,130,6,1,0.271,0.383,0.4,2B,
A.J. Ewin,21,805999,minors,Maj-NL,"NYM (A,A+,AA,AAA)",696,594,112,190,138,35,12,5,66,90,125,87,12,0.32,0.409,0.444,OF,
CJ Kayfu,24,692216,minors,Maj-AL,"CLE (AA,AAA)",404,346,52,104,62,20,8,14,59,48,98,4,3,0.301,0.391,0.526,1B/OF,
Travis Bazzan,23,683953,minors,Maj-AL,"CLE (AA,AAA,CPX)",491,396,89,101,55,28,7,11,49,87,116,20,4,0.255,0.397,0.444,2B,
Christian Moor,23,695681,minors,Maj-AL,"LAA (A,AA,AAA)",413,337,63,88,56,16,7,9,57,69,108,14,7,0.261,0.387,0.43,2B,
JJ Wetherhol,22,802139,minors,Maj-NL,"STL (AA,AAA)",496,408,82,125,78,28,2,17,59,72,73,23,3,0.306,0.421,0.51,2B,
Ryan Waldschmid,23,814439,minors,Maj-NL,"ARI (A+,AA,AAA)",757,612,144,177,113,36,7,21,100,115,144,35,12,0.289,0.415,0.474,OF,
Sam Antonacc,23,803011,minors,Maj-AL,"CHW (A+,AA,AAA,CPX)",586,454,84,133,97,23,6,7,64,84,81,53,10,0.293,0.44,0.416,OF,
Carson Beng,22,701807,minors,Maj-NL,"NYM (A+,AA,AAA)",519,441,87,124,77,25,7,15,73,68,92,22,4,0.281,0.385,0.472,OF,
Konnor Griffi,20,804606,minors,Maj-NL,"PIT (A,A+,AA,AAA)",584,500,121,168,117,26,4,21,95,55,126,68,15,0.336,0.42,0.53,SS,
Clay Dunga,30,687867,minors,Maj-NL,SDP (AAA),722,614,119,167,103,38,8,18,96,79,169,32,7,0.272,0.359,0.448,2B/SS,
Ernesto Martinez Jr,27,667803,minors,Maj-NL,MIL (AAA),444,381,58,96,62,18,3,13,59,52,118,3,4,0.252,0.345,0.417,1B,
Rafael Lantigu,28,672463,minors,Maj-NL,PHI (AAA),616,504,97,113,80,21,2,10,71,93,102,19,7,0.224,0.346,0.333,2B,
Luis Miese,25,672635,minors,Maj-AL,TEX (AA),428,394,45,92,61,15,2,14,54,31,85,1,2,0.234,0.29,0.388,OF,
Francisco Acun,26,672696,minors,Maj-NL,"SDP (AA,AAA)",640,537,76,130,94,24,2,10,62,74,148,26,8,0.242,0.346,0.35,SS,
Je'Von War,26,669219,minors,Maj-AL,"TOR (A+,AA,AAA)",490,401,79,89,56,19,4,10,66,86,138,8,4,0.222,0.359,0.364,OF,
Carlos Rodr\xc3\xadgue,25,677578,minors,Maj-NL,"ATL (AA,AAA)",707,626,71,161,138,14,1,8,49,69,92,22,10,0.257,0.33,0.321,OF,
Keyber Rodrigue,25,677601,minors,Maj-AL,"TEX (AA,AAA)",647,587,71,157,117,30,4,6,56,46,134,17,9,0.267,0.32,0.363,3B/SS,
Eddys Leonar,25,678760,minors,Maj-NL,ATL (AAA),638,563,67,147,87,29,5,26,86,49,119,16,8,0.261,0.33,0.469,SS,
Daniel Velloji,26,678962,minors,Maj-AL,"TBR (A+,AA)",353,300,36,56,37,12,1,6,32,42,91,5,1,0.187,0.298,0.293,C,
Junior Pere,24,678577,minors,Maj-AL,"OAK (AA,AAA)",741,628,110,142,69,34,8,31,106,100,216,31,7,0.226,0.332,0.454,OF,
Pablo Aliend,24,680846,minors,Maj-NL,CHC (AA),390,353,40,72,45,14,0,13,49,24,136,0,3,0.204,0.269,0.354,C,
Eduardo Valenci,26,680664,minors,Maj-AL,"DET (AA,AAA)",593,520,88,152,98,22,3,29,112,59,121,1,1,0.292,0.368,0.513,C/1B,
Orlando Martine,28,678636,minors,Maj-AL,HOU (AA),401,350,51,95,65,22,2,6,46,45,71,11,5,0.271,0.356,0.397,OF,
Kristian Robinso,25,677565,minors,Maj-NL,"ARI (AA,AAA)",676,560,102,148,91,28,8,21,81,101,186,40,10,0.264,0.381,0.455,OF,
Reivaj Garci,23,678706,minors,Maj-NL,"CHC (A+,AA)",399,363,40,93,76,15,2,0,28,27,64,13,4,0.256,0.311,0.309,2B,
Carlos De La Cru,25,678926,minors,Maj-NL,"WSN (AA,AAA)",482,439,46,97,57,20,7,13,57,36,159,12,4,0.221,0.286,0.387,OF,
Frainyer Chave,27,669413,minors,Maj-AL,"TEX (AA,AAA)",599,508,90,130,99,18,0,13,59,77,123,13,12,0.256,0.358,0.368,2B/3B,
Raynel Delgad,26,669384,minors,Maj-NL,MIL (AAA),636,559,75,148,115,24,3,6,75,59,128,53,14,0.265,0.341,0.351,2B/3B,
Ramon Mendoz,25,680636,minors,Maj-NL,"STL (AA,AAA)",523,440,77,125,84,22,2,17,74,73,107,4,5,0.284,0.389,0.459,2B/3B,
Nick Schnel,26,678010,minors,Maj-NL,"WSN (AA,AAA)",670,596,107,149,83,24,13,29,97,60,209,20,5,0.25,0.322,0.48,OF,
Jax Bigger,29,680890,minors,Maj-AL,"TEX (AA,AAA,CPX)",429,352,52,71,55,12,1,3,33,70,102,18,3,0.202,0.336,0.267,2B,
Andy Webe,28,681581,minors,Maj-NL,"ARI (AA,AAA)",633,569,97,164,120,25,9,10,74,55,110,2,9,0.288,0.352,0.417,2B/SS,
Jaylen Palme,24,681941,minors,Maj-NL,"CHC (AA,AAA)",441,380,57,90,72,9,1,8,35,53,154,25,9,0.237,0.338,0.329,3B/OF,
Eduardo Garci,23,682633,minors,Maj-NL,"MIL (A+,AA)",643,562,87,134,84,32,2,16,69,68,169,47,10,0.238,0.33,0.388,SS,
Juan Guerrer,23,682648,minors,Maj-NL,COL (AA),413,370,36,96,77,17,0,2,34,32,63,13,6,0.259,0.314,0.322,OF,
Victor Bericot,24,682674,minors,Maj-NL,"SFG (AA,AAA,CPX)",626,558,77,156,107,25,5,19,89,58,137,3,2,0.28,0.348,0.444,1B/OF,
Dayan Fria,24,682679,minors,Maj-AL,"CLE (AA,AAA)",593,507,70,106,76,22,0,8,48,73,151,29,12,0.209,0.311,0.3,3B,
Jose Ramo,25,682947,minors,Maj-NL,"LAD (AA,AAA)",536,470,72,110,69,15,3,23,79,55,170,7,9,0.234,0.317,0.426,OF,
Alexander Varga,24,683061,minors,Maj-NL,"CIN (A+,AA)",464,419,55,102,74,15,6,7,48,34,76,28,8,0.243,0.304,0.358,SS,
Euribiel Angele,24,683494,minors,Maj-AL,"OAK (AA,AAA)",616,552,77,151,115,30,0,6,69,51,68,20,6,0.274,0.341,0.361,2B/SS,
Leandro Pined,24,683610,minors,Maj-NL,PHI (AA),521,444,63,97,57,26,3,11,46,58,110,10,1,0.218,0.321,0.365,OF,
Jorge Burgo,23,684222,minors,Maj-AL,CLE (AA),483,419,51,87,49,20,4,14,83,54,106,2,3,0.208,0.3,0.375,OF,
Geraldo Quinter,23,684852,minors,Maj-NL,ATL (AA),399,335,43,71,46,11,4,10,41,52,87,29,11,0.212,0.327,0.358,2B/OF,
Carlos Mendoz,26,685332,minors,Maj-AL,"DET (AA,AAA)",553,450,78,120,90,20,2,8,55,80,75,14,10,0.267,0.386,0.373,2B/OF,
Rubel Cespede,24,686438,minors,Maj-AL,MIN (AA),398,360,41,88,55,21,3,9,53,35,67,1,1,0.244,0.314,0.394,1B/3B,
