Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
Brandon Lowe 2B | PIT,507,79,130,80,19,0,31,83,38,149,3,2,0.256,0.307,0.477,462
Matt Chapman 3B | SF,454,76,105,59,23,2,21,61,71,126,9,4,0.231,0.34,0.429,449
"Alec Burleson 1B,OF | STL",497,54,144,98,26,2,18,69,39,79,5,1,0.29,0.343,0.459,446
Teoscar Hernandez OF | LAD ,511,65,126,71,29,1,25,89,26,134,5,2,0.247,0.284,0.454,443
Spencer Steer 1B | CIN,509,66,121,77,21,2,21,75,51,129,7,1,0.238,0.312,0.411,439
Mickey Moniak OF | COL ,434,62,117,65,20,8,24,68,22,110,9,3,0.27,0.306,0.518,434
Alex Bregman 3B | CHC ,433,64,118,72,28,0,18,62,51,70,1,1,0.273,0.36,0.462,433
Kyle Stowers OF | MIA ,399,61,115,66,21,3,25,73,48,125,5,1,0.288,0.368,0.544,430
Drake Baldwin C | ATL ,405,56,111,72,18,2,19,80,38,68,0,0,0.274,0.341,0.469,426
Marcus Semien 2B | NYM,470,62,108,76,16,1,15,62,50,93,11,1,0.23,0.305,0.364,426
"Ryan O'Hearn 1B,OF | PIT",474,67,133,94,21,1,17,63,58,109,3,1,0.281,0.366,0.437,426
Luis Robert OF | NYM ,382,52,85,59,12,0,14,53,40,112,33,8,0.223,0.297,0.364,420
Nick Castellanos OF | SD,547,72,137,91,27,2,17,72,32,133,4,0,0.251,0.294,0.4,417
Ronald Acuna Jr. OF | ATL ,338,74,98,64,12,1,21,42,71,102,9,1,0.29,0.417,0.518,417
Adolis Garcia OF | PHI,507,58,115,68,28,0,19,75,28,135,13,4,0.227,0.271,0.395,412
Mike Yastrzemski OF | ATL ,477,68,111,65,28,1,17,46,72,108,7,2,0.233,0.333,0.403,410
Ivan Herrera DH | STL ,388,54,110,78,13,0,19,66,43,84,8,2,0.283,0.373,0.464,410
Gavin Sheets OF | SD,492,57,124,76,28,1,19,71,44,107,2,1,0.252,0.317,0.429,408
