Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
Andres Chaparro 1B | WAS,66,4,12,9,2,0,1,5,5,22,0,0,0.182,0.247,0.258,19
Hayden Senger C | NYM,72,8,13,12,1,0,0,4,3,22,0,0,0.181,0.221,0.194,17
Pablo Reyes OF | SD,31,4,6,5,1,0,0,2,2,10,1,0,0.194,0.242,0.226,16
Endy Rodriguez 1B | PIT,52,5,9,5,4,0,0,2,5,14,0,1,0.173,0.246,0.25,16
Owen Caissie OF | MIA,26,4,5,3,1,0,1,4,1,11,0,0,0.192,0.222,0.346,15
Luken Baker DH | ARI ,34,3,8,5,3,0,0,2,7,10,0,0,0.235,0.366,0.324,15
David Villar 1B | SF,20,4,4,3,1,0,0,1,4,5,0,0,0.2,0.36,0.25,14
Trenton Brooks DH | SD ,41,5,6,3,2,0,1,2,2,13,0,0,0.146,0.186,0.268,12
Oscar Gonzalez OF | SD ,59,2,13,12,1,0,0,4,2,13,0,1,0.22,0.246,0.237,12
Kevin Alcantara OF | CHC ,11,2,4,4,0,0,0,1,1,4,1,0,0.364,0.417,0.364,12
Brewer Hicklen OF | ATL ,3,2,2,2,0,0,0,0,1,1,1,0,0.667,0.75,0.667,11
Yuli Gurriel DH | SD,36,2,4,3,1,0,0,3,4,8,0,0,0.111,0.2,0.139,11
Matt Gorski 1B | LAD ,41,2,8,5,0,1,2,4,1,16,0,1,0.195,0.214,0.39,10
Jose Miranda 3B | SD ,36,2,6,5,0,0,1,5,0,13,0,0,0.167,0.167,0.25,10
Bryce Eldridge DH | SF ,28,1,3,1,2,0,0,4,7,13,0,0,0.107,0.297,0.179,10
Austin Barnes C | NYM ,42,4,9,6,3,0,0,2,1,14,0,0,0.214,0.233,0.286,10
Austin Nola C | COL,38,2,7,6,1,0,0,1,2,5,0,0,0.184,0.225,0.21,9
Rece Hinds OF | CIN,43,6,5,2,1,0,2,3,1,21,0,0,0.116,0.136,0.279,9
Tyler Black 1B | MIL ,8,1,2,1,1,0,0,1,5,1,0,1,0.25,0.538,0.375,9
Keston Hiura 1B | LAD ,18,3,4,3,1,0,0,1,0,7,0,0,0.222,0.333,0.278,9
Sandy Leon C | ATL ,12,1,1,0,0,0,1,3,0,4,0,0,0.083,0.083,0.333,8
Owen Miller 2B | CHC ,14,0,2,2,0,0,0,1,2,4,1,0,0.143,0.294,0.143,8
Alan Trejo SS | COL ,40,3,7,5,2,0,0,1,1,7,0,0,0.175,0.191,0.225,8
Mike Siani OF | LAD,17,4,4,4,0,0,0,0,2,7,0,0,0.235,0.316,0.235,7
Vimael Machin 3B | COL ,11,1,1,0,0,0,1,1,1,2,0,0,0.091,0.167,0.364,7
Logan Porter C | SF ,7,2,1,1,0,0,0,1,1,2,0,0,0.143,0.333,0.143,7
Chadwick Tromp C | ATL ,21,2,3,1,1,0,1,1,1,6,0,0,0.143,0.182,0.333,7
Akil Baddoo OF | MIL ,17,0,2,1,1,0,0,1,1,5,1,0,0.118,0.167,0.176,6
Nicky Lopez 3B | COL ,24,2,1,1,0,0,0,1,4,4,0,0,0.042,0.179,0.042,6
Zac Veen OF | COL,34,1,4,2,1,0,1,2,2,14,1,1,0.118,0.189,0.235,6
Brett Sullivan C | COL ,6,1,1,1,0,0,0,2,1,3,0,0,0.167,0.333,0.167,6
Drew Avans OF | COL ,17,1,2,2,0,0,0,1,0,6,1,0,0.118,0.111,0.118,5
Garrett Stubbs DH | PHI,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Grant McCray OF | SF,22,3,2,1,0,1,0,2,2,11,0,0,0.091,0.16,0.182,4
Rob Brantly C | MIA,7,0,3,3,0,0,0,1,0,1,0,0,0.429,0.429,0.429,4
Justin Dean OF | CHC,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
Jacob Hurtubise OF | MIL ,12,3,1,1,0,0,0,0,1,6,0,0,0.083,0.267,0.083,4
Buddy Kennedy 3B | SF,29,2,2,1,1,0,0,1,2,8,0,0,0.069,0.156,0.103,4
Steward Berroa OF | MIL ,5,0,0,0,0,0,0,0,1,2,1,0,0,0.167,0,4
Scott Kingery 2B | CHC ,27,3,4,3,1,0,0,0,2,11,1,1,0.148,0.207,0.185,4
MJ Melendez OF | NYM,60,5,5,2,2,0,1,1,3,23,0,0,0.083,0.154,0.167,4
Greg Jones OF | MIL ,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3
Harry Ford C | WAS,6,1,1,1,0,0,0,1,0,3,0,0,0.167,0.25,0.167,3
Billy Cook OF | PIT ,6,1,2,2,0,0,0,0,0,1,0,0,0.333,0.333,0.333,3
Trey Lipscomb 3B | WAS ,4,1,2,2,0,0,0,0,0,1,0,0,0.5,0.5,0.5,3
Samad Taylor OF | SD ,8,1,1,1,0,0,0,0,0,1,0,0,0.125,0.125,0.125,2
Tirso Ornelas OF | SD ,14,0,1,1,0,0,0,1,2,2,0,0,0.071,0.188,0.071,2
Jimmy Crooks C | STL,45,3,6,4,0,1,1,1,0,17,0,0,0.133,0.152,0.244,2
Kris Bryant DH | COL ,39,2,6,4,2,0,0,1,2,13,0,0,0.154,0.195,0.205,2
Tyler Callihan OF | CIN ,6,0,1,1,0,0,0,1,0,1,0,0,0.167,0.167,0.167,2
Chuckie Robinson C | LAD ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Eddie Rosario DH | MIL ,8,1,1,1,0,0,0,0,0,2,0,0,0.125,0.125,0.125,1
Bryan De La Cruz OF | PHI ,47,1,9,8,1,0,0,0,3,18,1,0,0.192,0.24,0.213,1
Yiddi Cappe 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duce Gourson 2B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin Dugas 2B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetrio Crisantes 2B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley Malm 3B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Chiu 2B | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Villarroel SS | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeison Santana SS | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Messina C | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Martinez C | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanley Consuegra OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitch Longo OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edward Salcedo OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Simmons SS | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sammy Hernandez C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Mesa OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Banks OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kellon Lindsey SS | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Metzler 3B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidel Pena 3B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Praytor C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Hollis 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Marrero SS | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Fernandez SS | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darick Hall 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilson Soriano OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Kroon 3B | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Robertson OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caleb Roberts C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javier Rivas SS | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Kendall SS | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renny Hidalgo OF | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casey McElroy SS | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Boone OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Knapp C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colton Welker 3B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Bruno SS | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Kranson C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auston Bousfield OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcom Nunez 3B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Arroyo 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gus Steiger SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emanuel Luna OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Lugo SS | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Haley 3B | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eliezer Zambrano C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colby Lusignan 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Bermudez OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Fleming 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Gould SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raylin Heredia OF | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinton Low 1B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Cairo SS | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Dunlap C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deion Walker OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Triantos 2B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Cerda C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry McClure OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camden Duzenack SS | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Blomgren SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks Harber 3B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Dillard C | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reinaldo Ilarraza 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeremi Cabrera OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luigi Rodriguez 2B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheu Nelson C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Alu OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesar Galvez SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Lantigua OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Castillo OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Susac C | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justice Thompson OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Swaggerty OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Rivera 2B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Bishop OF | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oswaldo Osorio SS | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branden Berry 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Del Castillo C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Campos C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Pintar OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stewart Ijames OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Thompson OF | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryson Worrell OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterlin Thompson OF | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deybert Lozano OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbert Iser C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Levi Michael 2B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Ramos OF | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yasmani Grandal C | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Diaz C | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jace Peterson SS | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Henry OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bengie Gonzalez SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kade Snell OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damon Dues SS | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avain Rachal 1B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan January C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quincy McAfee SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aidan West SS | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Roselli 2B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Tolman 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Miller C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Taylor 2B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Maggi 3B | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Mejia 2B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Torres 3B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joan Delgado OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Stewart 1B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripken Reyes 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Moore 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison Kopack C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Witt SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilvin Fernandez SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Tanner C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandler Seagle C | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnaldo Berrios OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gregory Guerrero 2B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conner Capel OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Swain OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt McPhearson OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darlin Moquete OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhett Wiseman OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Abreu OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdiel Layer 3B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yonathan Daza OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Benitez 1B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brenner Cox OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Brito 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilfredo Flores OF | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Davis 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Moss OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Gauthier 2B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Mercado C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Olivo SS | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon Landry OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colby Shade OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cade Harris 3B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Cannarella OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrett Kleinknecht 3B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillon Paulson 1B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Gigliotti OF | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Quirion C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Butler 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antony Peguero OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Chang 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Alemais SS | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Moore 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boomer White 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Twine SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josiah Hartshorn OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Miller SS | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andres Valor OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Farquhar 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wagner Lagrange OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moises Gomez OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Encarnacion 3B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Nagle OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Jones 2B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brayan Morales OF | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Van Gansen SS | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Locastro OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trace Tam Sing 2B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Rey 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Keyes OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yohairo Cuevas 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin Fien SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronaiker Palma C | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Hagerty C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fernando Cruz SS | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Anderson C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cord Sandberg OF | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Roy OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dakota Jordan OF | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Michael Faile C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Lameda 3B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Thompson 3B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawn Pleffner 1B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Spitz OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enmanuel Zabala OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elehuris Montero 1B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Payton Green SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Parada C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeffrey Palumbo SS | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Garlick OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whit Merrifield 2B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Juan OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Maldonado 1B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Vilter 3B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reed Harper 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Hernandez SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neyfy Castillo 1B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grae Kessinger 3B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gustavo Polanco C | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Rodriguez SS | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Benua OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Graeter C | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baron Radcliff OF | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Made 2B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Griffin Lockwood-Powell 1B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Kilpatrick OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erick Mejia 3B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Leon OF | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruddy Giron 3B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Newell OF | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Stephens OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Navin C | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danyer Sanabria OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Pitelli SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Roberts SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kai Murphy OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben McLaughlin 3B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Freeman 2B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Compton 3B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Sasaki OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Cordova C | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callan Moss 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Castellanos 1B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eduardo Garcia 3B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Rotondo OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rowdey Jordan OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Paulino OF | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Krause C | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Payne C | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Paolini OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty Southisene 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Spohn SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronald Bueno 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Drake OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JD Dix 2B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis Bradshaw OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Perez SS | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Shackelford SS | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Belyeu OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooper Bowman 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramon Rodriguez C | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
